datetime,vt_symbol,side,price,volume,cash,equity,reason
2025-05-13,NVDA.SMART,BUY,129.9643,3,9609.11,9998.81,trend_following:trend_following
2025-05-30,AMD.SMART,BUY,110.7854,3,9275.75,10013.24,pullback_buy:pullback_buy
2025-06-02,AMD.SMART,SELL,114.5727,3,9618.47,10030.51,pullback_buy:waiting_pullback
2025-06-05,AMD.SMART,BUY,115.7478,3,9270.23,10037.17,pullback_buy:pullback_buy
2025-06-09,AMD.SMART,SELL,121.6691,3,9634.23,10062.02,pullback_buy:waiting_pullback
2025-06-10,NVDA.SMART,SELL,143.8541,1,9777.09,10064.94,trend_following:trend_following
2025-06-11,NVDA.SMART,BUY,142.8777,1,9633.21,10061.63,trend_following:trend_following
2025-06-12,AMD.SMART,BUY,118.5592,3,9276.53,10066.96,pullback_buy:pullback_buy
2025-06-12,NVDA.SMART,SELL,144.9034,1,9420.43,10065.89,trend_following:trend_following
2025-06-13,NVDA.SMART,BUY,142.0174,1,9277.42,10051.74,trend_following:trend_following
2025-06-16,AMD.SMART,SELL,126.3268,3,9655.4,10089.4,pullback_buy:waiting_pullback
2025-06-16,NVDA.SMART,SELL,144.5936,1,9798.99,10088.32,trend_following:trend_following
2025-06-17,NVDA.SMART,BUY,144.1681,1,9653.82,10086.11,trend_following:trend_following
2025-06-18,NVDA.SMART,SELL,145.3831,1,9798.21,10089.12,trend_following:trend_following
2025-06-20,NVDA.SMART,BUY,143.898,1,9653.31,10084.79,trend_following:trend_following
2025-06-23,NVDA.SMART,SELL,144.074,1,9796.38,10084.67,trend_following:trend_following
2025-08-06,AMD.SMART,BUY,163.2016,2,9468.98,10154.0,pullback_buy:pullback_buy
2025-08-07,AMD.SMART,SELL,172.3138,2,9812.61,10174.09,pullback_buy:waiting_pullback
2025-08-18,AMD.SMART,BUY,176.2281,2,9459.15,10175.39,pullback_buy:pullback_buy
2025-09-05,NVDA.SMART,SELL,166.9087,2,9791.97,10094.25,trend_following:trend_exit
2025-09-08,NVDA.SMART,BUY,168.3662,2,9454.24,10093.62,trend_following:trend_following
2025-09-17,NVDA.SMART,SELL,170.1862,2,9793.61,10111.93,trend_following:trend_exit
2025-09-18,NVDA.SMART,BUY,176.3088,2,9439.99,10108.27,trend_following:trend_following
2025-09-25,AMD.SMART,SELL,161.1894,2,9761.37,10116.71,pullback_buy:waiting_pullback
2025-09-26,AMD.SMART,BUY,159.5397,2,9441.29,10116.55,pullback_buy:pullback_buy
2025-10-01,AMD.SMART,SELL,163.928,2,9768.15,10142.59,pullback_buy:waiting_pullback
2025-10-03,AMD.SMART,BUY,164.7523,2,9437.64,10142.18,pullback_buy:pullback_buy
2025-10-06,AMD.SMART,SELL,203.6081,2,9843.86,10214.9,pullback_buy:waiting_pullback
2025-11-06,AMD.SMART,BUY,237.8188,1,9605.04,10218.86,pullback_buy:pullback_buy
2025-11-12,AMD.SMART,SELL,258.7606,1,9862.8,10250.36,pullback_buy:waiting_pullback
2025-11-13,AMD.SMART,BUY,248.084,1,9613.72,10235.35,pullback_buy:pullback_buy
2025-11-18,NVDA.SMART,SELL,181.2494,2,9975.21,10205.5,trend_following:trend_exit
2025-11-19,NVDA.SMART,BUY,186.5928,2,9601.03,10197.58,trend_following:trend_following
2025-11-20,NVDA.SMART,SELL,180.5299,2,9961.09,10167.11,trend_following:trend_exit
2025-12-12,AMD.SMART,BUY,210.8854,1,9749.2,10170.76,pullback_buy:pullback_buy
2026-01-02,AMD.SMART,SELL,223.3583,2,10194.92,10194.92,pullback_buy:waiting_pullback
2026-01-05,AMD.SMART,BUY,221.1905,1,9972.73,10193.81,pullback_buy:pullback_buy
2026-01-05,NVDA.SMART,BUY,188.2039,2,9595.32,10192.62,trend_following:trend_following
2026-01-06,AMD.SMART,BUY,214.4572,1,9379.86,10183.02,pullback_buy:pullback_buy
2026-01-08,NVDA.SMART,SELL,184.9375,2,9748.74,10158.1,trend_following:trend_exit
2026-01-13,AMD.SMART,SELL,220.8595,2,10189.46,10189.46,pullback_buy:waiting_pullback
2026-01-15,NVDA.SMART,BUY,187.1334,2,9814.19,10188.27,trend_following:trend_following
2026-01-16,NVDA.SMART,SELL,186.1268,2,10185.44,10185.44,trend_following:trend_exit
2026-01-28,NVDA.SMART,BUY,191.6054,2,9801.23,10184.25,trend_following:trend_following
2026-01-29,MSFT.SMART,BUY,432.7291,1,9367.51,10185.02,pullback_buy:pullback_buy
2026-02-03,NVDA.SMART,SELL,180.2401,2,9726.99,10137.26,trend_following:trend_exit
2026-02-04,AMD.SMART,BUY,200.2901,1,9525.7,10139.13,pullback_buy:pullback_buy
2026-02-06,NVDA.SMART,BUY,185.4927,2,9153.71,10133.18,trend_following:trend_following
2026-02-13,NVDA.SMART,SELL,182.7087,2,9518.13,10125.85,trend_following:trend_exit
2026-02-18,NVDA.SMART,BUY,188.0638,2,9141.0,10115.75,trend_following:trend_following
2026-02-26,AMD.SMART,BUY,203.7818,1,8936.22,10115.06,pullback_buy:pullback_buy
2026-02-26,NVDA.SMART,SELL,184.7876,2,9304.79,10113.87,trend_following:trend_exit
2026-03-25,AMD.SMART,SELL,220.1599,2,9744.11,10115.15,pullback_buy:waiting_pullback
2026-03-26,AMD.SMART,BUY,203.8719,2,9335.37,10108.88,pullback_buy:pullback_buy
2026-04-01,AMD.SMART,SELL,210.1049,2,9754.58,10123.95,pullback_buy:waiting_pullback
2026-04-14,MSFT.SMART,SELL,392.9134,1,10146.49,10146.49,pullback_buy:waiting_pullback
2026-04-15,NVDA.SMART,BUY,198.9694,2,9747.55,10145.29,trend_following:trend_following
2026-04-30,MSFT.SMART,BUY,407.9839,1,9338.57,10145.49,pullback_buy:pullback_buy
