bar_index,bar_datetime,symbol,side,qty,price,fee
46,2021-07-29T00:00:00,TSLA,BUY,46,216.594501,2.989004
46,2021-07-29T00:00:00,AMZN,BUY,55,181.3875,2.992894
48,2021-08-02T00:00:00,AMZN,SELL,55,167.655,2.766307
62,2021-08-20T00:00:00,TSLA,SELL,46,227.614391,3.141079
62,2021-08-20T00:00:00,TSM,BUY,97,100.8474,2.934659
70,2021-09-01T00:00:00,AMZN,BUY,57,174.8198,2.989419
70,2021-09-01T00:00:00,TSLA,BUY,41,244.690886,3.009698
84,2021-09-22T00:00:00,TSM,SELL,97,107.011261,3.114028
84,2021-09-22T00:00:00,AMZN,SELL,57,167.55,2.865105
118,2021-11-09T00:00:00,TSLA,SELL,41,391.196088,4.811712
159,2022-01-07T00:00:00,TSM,BUY,88,118.078814,3.117281
167,2022-01-20T00:00:00,MSFT,BUY,36,297.725001,3.21543
170,2022-01-25T00:00:00,AVGO,BUY,210,48.807355,3.074863
170,2022-01-25T00:00:00,AMZN,BUY,72,142.2425,3.072438
171,2022-01-26T00:00:00,TSM,SELL,88,116.983015,3.088352
174,2022-01-31T00:00:00,TSLA,BUY,37,290.900424,3.228995
174,2022-01-31T00:00:00,NVDA,BUY,467,23.135927,3.241343
184,2022-02-14T00:00:00,MSFT,SELL,36,282.986617,3.056255
191,2022-02-24T00:00:00,NVDA,SELL,467,20.973234,2.93835
191,2022-02-24T00:00:00,AVGO,SELL,210,50.987047,3.212184
191,2022-02-24T00:00:00,TSLA,SELL,37,233.460999,2.591417
192,2022-02-25T00:00:00,AMZN,SELL,72,150.55,3.25188
195,2022-03-02T00:00:00,TSM,BUY,102,101.079878,3.093044
199,2022-03-08T00:00:00,TSM,SELL,102,93.409284,2.858324
207,2022-03-18T00:00:00,AMZN,BUY,65,156.813,3.057853
209,2022-03-22T00:00:00,TSLA,BUY,33,309.9969,3.068969
209,2022-03-22T00:00:00,NVDA,BUY,384,26.678427,3.073355
221,2022-04-07T00:00:00,NVDA,SELL,384,24.396582,2.810486
221,2022-04-07T00:00:00,TSLA,SELL,33,350.793159,3.472852
222,2022-04-08T00:00:00,MSFT,BUY,35,290.010199,3.045107
224,2022-04-12T00:00:00,MSFT,SELL,35,279.194181,2.931539
224,2022-04-12T00:00:00,AMZN,SELL,65,153.6925,2.997004
233,2022-04-26T00:00:00,NVDA,BUY,514,19.682165,3.03499
234,2022-04-27T00:00:00,NVDA,SELL,514,18.564201,2.8626
236,2022-04-29T00:00:00,MSFT,BUY,36,278.590878,3.008781
238,2022-05-03T00:00:00,AMZN,BUY,81,124.0535,3.0145
241,2022-05-06T00:00:00,AMZN,SELL,81,114.85,2.790855
