date,cash,position_value,nav
2021-05-24,100000.0,0.0,100000.0
2021-05-25,100000.0,0.0,100000.0
2021-05-26,100000.0,0.0,100000.0
2021-05-27,100000.0,0.0,100000.0
2021-05-28,100000.0,0.0,100000.0
2021-06-01,100000.0,0.0,100000.0
2021-06-02,100000.0,0.0,100000.0
2021-06-03,100000.0,0.0,100000.0
2021-06-04,100000.0,0.0,100000.0
2021-06-07,100000.0,0.0,100000.0
2021-06-08,100000.0,0.0,100000.0
2021-06-09,100000.0,0.0,100000.0
2021-06-10,100000.0,0.0,100000.0
2021-06-11,100000.0,0.0,100000.0
2021-06-14,100000.0,0.0,100000.0
2021-06-15,100000.0,0.0,100000.0
2021-06-16,100000.0,0.0,100000.0
2021-06-17,100000.0,0.0,100000.0
2021-06-18,100000.0,0.0,100000.0
2021-06-21,100000.0,0.0,100000.0
2021-06-22,100000.0,0.0,100000.0
2021-06-23,100000.0,0.0,100000.0
2021-06-24,100000.0,0.0,100000.0
2021-06-25,100000.0,0.0,100000.0
2021-06-28,100000.0,0.0,100000.0
2021-06-29,100000.0,0.0,100000.0
2021-06-30,100000.0,0.0,100000.0
2021-07-01,100000.0,0.0,100000.0
2021-07-02,100000.0,0.0,100000.0
2021-07-06,100000.0,0.0,100000.0
2021-07-07,100000.0,0.0,100000.0
2021-07-08,100000.0,0.0,100000.0
2021-07-09,100000.0,0.0,100000.0
2021-07-12,100000.0,0.0,100000.0
2021-07-13,100000.0,0.0,100000.0
2021-07-14,100000.0,0.0,100000.0
2021-07-15,100000.0,0.0,100000.0
2021-07-16,100000.0,0.0,100000.0
2021-07-19,100000.0,0.0,100000.0
2021-07-20,100000.0,0.0,100000.0
2021-07-21,100000.0,0.0,100000.0
2021-07-22,100000.0,0.0,100000.0
2021-07-23,100000.0,0.0,100000.0
2021-07-26,100000.0,0.0,100000.0
2021-07-27,100000.0,0.0,100000.0
2021-07-28,100000.0,0.0,100000.0
2021-07-29,100000.0,0.0,100000.0
2021-07-30,100000.0,0.0,100000.0
2021-08-02,100000.0,0.0,100000.0
2021-08-03,100000.0,0.0,100000.0
2021-08-04,100000.0,0.0,100000.0
2021-08-05,100000.0,0.0,100000.0
2021-08-06,100000.0,0.0,100000.0
2021-08-09,100000.0,0.0,100000.0
2021-08-10,100000.0,0.0,100000.0
2021-08-11,100000.0,0.0,100000.0
2021-08-12,100000.0,0.0,100000.0
2021-08-13,100000.0,0.0,100000.0
2021-08-16,100000.0,0.0,100000.0
