bar_index,bar_datetime,symbol,side,qty,price,fee
90,2021-09-30T00:00:00,MSFT,BUY,36,274.719873,2.966975
94,2021-10-06T00:00:00,AMZN,BUY,62,160.6765,2.988583
133,2021-12-01T00:00:00,MSFT,SELL,36,322.82842,3.486547
134,2021-12-02T00:00:00,AMZN,SELL,62,173.0,3.2178
167,2022-01-20T00:00:00,MSFT,BUY,35,297.725001,3.126113
170,2022-01-25T00:00:00,AVGO,BUY,203,48.807355,2.972368
170,2022-01-25T00:00:00,AMZN,BUY,70,142.2425,2.987092
174,2022-01-31T00:00:00,TSLA,BUY,36,290.900424,3.141725
184,2022-02-14T00:00:00,MSFT,SELL,35,282.986617,2.971359
191,2022-02-24T00:00:00,TSLA,SELL,36,233.460999,2.521379
191,2022-02-24T00:00:00,AVGO,SELL,203,50.987047,3.105111
192,2022-02-25T00:00:00,AMZN,SELL,70,150.55,3.16155
233,2022-04-26T00:00:00,NVDA,BUY,507,19.682165,2.993657
234,2022-04-27T00:00:00,NVDA,SELL,507,18.564201,2.823615
238,2022-05-03T00:00:00,AMZN,BUY,80,124.0535,2.977284
241,2022-05-06T00:00:00,AMZN,SELL,80,114.85,2.7564
247,2022-05-16T00:00:00,AMZN,BUY,88,113.1,2.98584
250,2022-05-19T00:00:00,AMZN,SELL,88,106.2805,2.805805
