date,cash,position_value,nav
2025-05-21,1000000.0,0.0,1000000.0
2025-05-22,1000000.0,0.0,1000000.0
2025-05-23,1000000.0,0.0,1000000.0
2025-05-27,1000000.0,0.0,1000000.0
2025-05-28,1000000.0,0.0,1000000.0
2025-05-29,1000000.0,0.0,1000000.0
2025-05-30,1000000.0,0.0,1000000.0
2025-06-02,1000000.0,0.0,1000000.0
2025-06-03,1000000.0,0.0,1000000.0
2025-06-04,1000000.0,0.0,1000000.0
2025-06-05,1000000.0,0.0,1000000.0
2025-06-06,1000000.0,0.0,1000000.0
2025-06-09,1000000.0,0.0,1000000.0
2025-06-10,1000000.0,0.0,1000000.0
2025-06-11,1000000.0,0.0,1000000.0
2025-06-12,1000000.0,0.0,1000000.0
2025-06-13,1000000.0,0.0,1000000.0
2025-06-16,1000000.0,0.0,1000000.0
2025-06-17,1000000.0,0.0,1000000.0
2025-06-18,1000000.0,0.0,1000000.0
2025-06-20,1000000.0,0.0,1000000.0
2025-06-23,1000000.0,0.0,1000000.0
2025-06-24,1000000.0,0.0,1000000.0
2025-06-25,1000000.0,0.0,1000000.0
2025-06-26,1000000.0,0.0,1000000.0
2025-06-27,1000000.0,0.0,1000000.0
2025-06-30,1000000.0,0.0,1000000.0
2025-07-01,1000000.0,0.0,1000000.0
2025-07-02,1000000.0,0.0,1000000.0
2025-07-03,1000000.0,0.0,1000000.0
2025-07-07,1000000.0,0.0,1000000.0
2025-07-08,1000000.0,0.0,1000000.0
2025-07-09,1000000.0,0.0,1000000.0
2025-07-10,1000000.0,0.0,1000000.0
2025-07-11,1000000.0,0.0,1000000.0
2025-07-14,1000000.0,0.0,1000000.0
2025-07-15,1000000.0,0.0,1000000.0
2025-07-16,1000000.0,0.0,1000000.0
2025-07-17,1000000.0,0.0,1000000.0
2025-07-18,1000000.0,0.0,1000000.0
2025-07-21,1000000.0,0.0,1000000.0
2025-07-22,1000000.0,0.0,1000000.0
2025-07-23,1000000.0,0.0,1000000.0
2025-07-24,1000000.0,0.0,1000000.0
2025-07-25,1000000.0,0.0,1000000.0
2025-07-28,1000000.0,0.0,1000000.0
2025-07-29,1000000.0,0.0,1000000.0
2025-07-30,901908.8435,99802.3901,1001711.2336
2025-07-31,995894.6108,0.0,995894.6108
2025-08-01,995894.6108,0.0,995894.6108
2025-08-04,995894.6108,0.0,995894.6108
2025-08-05,995894.6108,0.0,995894.6108
2025-08-06,995894.6108,0.0,995894.6108
2025-08-07,995894.6108,0.0,995894.6108
2025-08-08,995894.6108,0.0,995894.6108
2025-08-11,995894.6108,0.0,995894.6108
2025-08-12,995894.6108,0.0,995894.6108
2025-08-13,995894.6108,0.0,995894.6108
2025-08-14,995894.6108,0.0,995894.6108
2025-08-15,995894.6108,0.0,995894.6108
2025-08-18,995894.6108,0.0,995894.6108
2025-08-19,995894.6108,0.0,995894.6108
2025-08-20,995894.6108,0.0,995894.6108
2025-08-21,995894.6108,0.0,995894.6108
2025-08-22,995894.6108,0.0,995894.6108
2025-08-25,995894.6108,0.0,995894.6108
2025-08-26,995894.6108,0.0,995894.6108
2025-08-27,995894.6108,0.0,995894.6108
2025-08-28,995894.6108,0.0,995894.6108
2025-08-29,995894.6108,0.0,995894.6108
2025-09-02,995894.6108,0.0,995894.6108
2025-09-03,995894.6108,0.0,995894.6108
2025-09-04,995894.6108,0.0,995894.6108
2025-09-05,995894.6108,0.0,995894.6108
2025-09-08,995894.6108,0.0,995894.6108
2025-09-09,995894.6108,0.0,995894.6108
2025-09-10,995894.6108,0.0,995894.6108
2025-09-11,995894.6108,0.0,995894.6108
2025-09-12,995894.6108,0.0,995894.6108
2025-09-15,995894.6108,0.0,995894.6108
2025-09-16,995894.6108,0.0,995894.6108
2025-09-17,995894.6108,0.0,995894.6108
2025-09-18,995894.6108,0.0,995894.6108
2025-09-19,995894.6108,0.0,995894.6108
2025-09-22,995894.6108,0.0,995894.6108
2025-09-23,995894.6108,0.0,995894.6108
2025-09-24,995894.6108,0.0,995894.6108
2025-09-25,995894.6108,0.0,995894.6108
2025-09-26,995894.6108,0.0,995894.6108
2025-09-29,995894.6108,0.0,995894.6108
2025-09-30,995894.6108,0.0,995894.6108
2025-10-01,995894.6108,0.0,995894.6108
2025-10-02,995894.6108,0.0,995894.6108
2025-10-03,995894.6108,0.0,995894.6108
2025-10-06,896268.2246,99310.6454,995578.87
2025-10-07,896268.2246,98952.6242,995220.8488
2025-10-08,896268.2246,99613.1594,995881.384
2025-10-09,896268.2246,101787.6526,998055.8772
2025-10-10,896268.2246,97873.0098,994141.2344
2025-10-13,896268.2246,99316.1961,995584.4207
2025-10-14,896268.2246,98337.8823,994606.1069
2025-10-15,896268.2246,99572.9167,995841.1413
2025-10-16,896268.2246,98812.4686,995080.6932
2025-10-17,896268.2246,99484.7991,995753.0237
2025-10-20,896268.2246,101601.7036,997869.9282
2025-10-21,896268.2246,101754.3483,998022.5729
2025-10-22,896268.2246,101773.7759,998042.0004
2025-10-23,896268.2246,101855.6489,998123.8735
2025-10-24,896268.2246,102460.677,998728.9016
2025-10-27,896268.2246,104189.7252,1000457.9498
2025-10-28,896268.2246,104275.7613,1000543.9859
2025-10-29,896268.2246,104307.678,1000575.9026
2025-10-30,989840.4902,0.0,989840.4902
2025-10-31,989840.4902,0.0,989840.4902
2025-11-03,989840.4902,0.0,989840.4902
2025-11-04,989840.4902,0.0,989840.4902
2025-11-05,989840.4902,0.0,989840.4902
2025-11-06,989840.4902,0.0,989840.4902
2025-11-07,790011.9348,197639.3577,987651.2926
2025-11-10,790011.9348,201063.0365,991074.9714
2025-11-11,790011.9348,200853.9393,990865.8741
2025-11-12,790011.9348,198475.5691,988487.5039
2025-11-13,790011.9348,197051.7571,987063.6919
2025-11-14,790011.9348,198355.7947,988367.7296
2025-11-17,790011.9348,196637.4505,986649.3853
2025-11-18,790011.9348,193223.0641,983234.9989
2025-11-19,885779.479,97020.5529,982800.0319
2025-11-20,885779.479,95468.0964,981247.5754
2025-11-21,885779.479,94208.9703,979988.4493
2025-11-24,786894.8266,193424.5132,980319.3399
2025-11-25,786894.8266,194644.6383,981539.465
2025-11-26,786894.8266,198117.302,985012.1287
2025-11-28,786894.8266,200773.8286,987668.6552
2025-12-01,786894.8266,198623.3071,985518.1337
2025-12-02,786894.8266,199953.6107,986848.4374
2025-12-03,786894.8266,194946.6091,981841.4357
2025-12-04,786894.8266,196215.7024,983110.529
2025-12-05,786894.8266,197162.4215,984057.2482
2025-12-08,786894.8266,200369.8407,987264.6673
2025-12-09,786894.8266,200777.9093,987672.7359
2025-12-10,786894.8266,195285.306,982180.1327
2025-12-11,786894.8266,197288.9228,984183.7494
2025-12-12,786894.8266,195273.064,982167.8906
2025-12-15,786894.8266,193759.1295,980653.9561
2025-12-16,786894.8266,194399.7972,981294.6238
2025-12-17,786894.8266,194289.6186,981184.4453
2025-12-18,786894.8266,197497.0378,984391.8644
2025-12-19,786894.8266,198288.6909,985183.5175
2025-12-22,786894.8266,197880.6223,984775.4489
2025-12-23,786894.8266,198668.1946,985563.0213
2025-12-24,786894.8266,199145.6349,986040.4615
2025-12-26,786894.8266,199019.1336,985913.9603
2025-12-29,786894.8266,198770.2118,985665.0384
2025-12-30,786894.8266,198925.2779,985820.1045
2025-12-31,786894.8266,197350.1331,984244.9597
2026-01-02,786894.8266,192991.9605,979886.7872
2026-01-05,980179.7233,0.0,980179.7233
2026-01-06,980179.7233,0.0,980179.7233
2026-01-07,980179.7233,0.0,980179.7233
2026-01-08,980179.7233,0.0,980179.7233
2026-01-09,882369.5791,97860.0427,980229.6218
2026-01-12,882369.5791,98192.0659,980561.6449
2026-01-13,882369.5791,98493.9051,980863.4842
2026-01-14,882369.5791,98082.6492,980452.2282
2026-01-15,882369.5791,97422.3759,979791.955
2026-01-16,882369.5791,96411.2146,978780.7936
2026-01-20,882369.5791,93079.6644,975449.2434
2026-01-21,882369.5791,93438.0984,975807.6775
2026-01-22,882369.5791,93702.2077,976071.7868
2026-01-23,882369.5791,93585.245,975954.8241
2026-01-26,882369.5791,96365.9387,978735.5178
2026-01-27,882369.5791,97445.0138,979814.5929
2026-01-28,882369.5791,96754.5567,979124.1357
2026-01-29,882369.5791,97448.7868,979818.3659
2026-01-30,882369.5791,97901.5456,980271.1247
2026-02-02,882369.5791,101874.5041,984244.0832
2026-02-03,882369.5791,101674.5357,984044.1148
2026-02-04,785590.6634,202672.134,988262.7974
2026-02-05,684300.9995,295806.2822,980107.2816
2026-02-06,684300.9995,305503.0233,989804.0228
2026-02-09,684300.9995,310724.1849,995025.1843
2026-02-10,684300.9995,309183.6533,993484.6528
2026-02-11,684300.9995,308491.5043,992792.5038
2026-02-12,684300.9995,299024.1277,983325.1272
2026-02-13,684300.9995,294755.6014,979056.6008
2026-02-17,684300.9995,299086.9196,983387.9191
2026-02-18,684300.9995,300221.8974,984522.8968
2026-02-19,782072.2112,200486.6789,982558.8902
2026-02-20,782072.2112,199770.0481,981842.2594
2026-02-23,873470.1037,104498.571,977968.6747
2026-02-24,873470.1037,102964.3394,976434.4431
2026-02-25,873470.1037,105121.7538,978591.8574
2026-02-26,971726.3418,0.0,971726.3418
2026-02-27,971726.3418,0.0,971726.3418
2026-03-02,971726.3418,0.0,971726.3418
2026-03-03,971726.3418,0.0,971726.3418
2026-03-04,971726.3418,0.0,971726.3418
2026-03-05,971726.3418,0.0,971726.3418
2026-03-06,971726.3418,0.0,971726.3418
2026-03-09,874990.8055,96917.1265,971907.932
2026-03-10,874990.8055,96519.3223,971510.1279
2026-03-11,874990.8055,96114.8324,971105.6379
2026-03-12,874990.8055,94567.0734,969557.8789
2026-03-13,874990.8055,94750.9324,969741.738
2026-03-16,874990.8055,95660.1991,970651.0046
2026-03-17,874990.8055,95904.2302,970895.0357
2026-03-18,874990.8055,96188.376,971179.1816
2026-03-19,874990.8055,96265.2625,971256.0681
2026-03-20,874990.8055,95793.9148,970784.7203
2026-03-23,874990.8055,96913.7836,971904.5891
2026-03-24,874990.8055,97746.1637,972736.9693
2026-03-25,777808.1295,195968.1971,973776.3266
2026-03-26,777808.1295,193382.9297,971191.0592
2026-03-27,777808.1295,188024.0989,965832.2284
2026-03-30,775185.508,190595.92,965781.428
2026-03-31,775185.508,199967.94,975153.448
2026-04-01,775185.508,201036.34,976221.848
2026-04-02,775185.508,201249.32,976434.828
2026-04-06,775185.508,200838.16,976023.668
2026-04-07,775185.508,201048.98,976234.488
2026-04-08,775185.508,208310.06,983495.568
2026-04-09,676464.6756,309356.24,985820.9156
2026-04-10,676464.6756,309993.49,986458.1656
2026-04-13,676464.6756,315360.04,991824.7156
2026-04-14,676464.6756,326040.02,1002504.6956
2026-04-15,676464.6756,340329.79,1016794.4656
2026-04-16,676464.6756,342781.22,1019245.8956
2026-04-17,676464.6756,348886.68,1025351.3556
2026-04-20,676464.6756,342160.64,1018625.3156
2026-04-21,676464.6756,341650.82,1018115.4956
2026-04-22,676464.6756,345314.99,1021779.6656
2026-04-23,676464.6756,334083.7,1010548.3756
2026-04-24,676464.6756,340001.34,1016466.0156
2026-04-27,676464.6756,341375.39,1017840.0656
2026-04-28,676464.6756,340470.4,1016935.0756
2026-04-29,676464.6756,337898.12,1014362.7956
2026-04-30,787075.6824,215602.91,1002678.5924
2026-05-01,787075.6824,219966.98,1007042.6624
2026-05-04,787075.6824,220233.79,1007309.4724
2026-05-05,787075.6824,218752.01,1005827.6924
2026-05-06,787075.6824,222095.57,1009171.2524
2026-05-07,787075.6824,227601.89,1014677.5724
2026-05-08,893905.5638,122079.75,1015985.3138
2026-05-11,893905.5638,126825.0,1020730.5638
2026-05-12,893905.5638,123533.25,1017438.8138
2026-05-13,893905.5638,126901.95,1020807.5138
2026-05-14,893905.5638,126340.5,1020246.0638
2026-05-15,1013361.6662,0.0,1013361.6662
2026-05-18,1013361.6662,0.0,1013361.6662
2026-05-19,1013361.6662,0.0,1013361.6662
2026-05-20,1013361.6662,0.0,1013361.6662
