bar_index,bar_datetime,symbol,side,qty,price,fee
48,2025-07-31T00:00:00,UNH,BUY,383,256.035869,29.418521
49,2025-08-01T00:00:00,UNH,SELL,383,245.467289,28.204191
95,2025-10-07T00:00:00,META,BUY,139,716.521635,29.878952
113,2025-10-31T00:00:00,META,SELL,139,673.383782,28.080104
119,2025-11-10T00:00:00,META,BUY,159,630.03628,30.052731
119,2025-11-10T00:00:00,MSFT,BUY,200,497.964282,29.877857
127,2025-11-20T00:00:00,META,SELL,159,602.492346,28.738885
130,2025-11-25T00:00:00,MSFT,BUY,209,472.990411,29.656499
157,2026-01-06T00:00:00,MSFT,SELL,409,472.721026,58.00287
161,2026-01-12T00:00:00,AAPL,BUY,378,258.679391,29.334243
178,2026-02-05T00:00:00,MSFT,BUY,238,406.512146,29.024967
179,2026-02-06T00:00:00,AVGO,BUY,317,319.429925,30.377786
188,2026-02-20T00:00:00,AAPL,SELL,378,258.731619,29.340166
190,2026-02-24T00:00:00,MSFT,SELL,238,384.14,27.427596
193,2026-02-27T00:00:00,AVGO,SELL,317,310.049602,29.485717
200,2026-03-10T00:00:00,JPM,BUY,336,287.817037,29.011957
212,2026-03-26T00:00:00,MSFT,BUY,262,370.815,29.146059
215,2026-03-31T00:00:00,JPM,SELL,336,287.001212,28.929722
215,2026-03-31T00:00:00,META,BUY,180,549.98,29.69892
222,2026-04-10T00:00:00,TSLA,BUY,285,346.285,29.607367
237,2026-05-01T00:00:00,META,SELL,180,614.69,33.19326
243,2026-05-11T00:00:00,MSFT,SELL,262,407.87,32.058582
248,2026-05-18T00:00:00,TSLA,SELL,285,419.27,35.847585
