date,cash,position_value,nav
2021-05-24,100000.0,0.0,100000.0
2021-05-25,38480.1707,61392.9019,99873.0727
2021-05-26,18064.3733,81813.8757,99878.249
2021-05-27,18064.3733,81694.1679,99758.5412
2021-05-28,18064.3733,81712.4049,99776.7782
2021-06-01,18064.3733,81728.7278,99793.1011
2021-06-02,18064.3733,81896.1048,99960.4781
2021-06-03,18064.3733,80898.8002,98963.1735
2021-06-04,18064.3733,82182.0413,100246.4146
2021-06-07,954.739,99572.2807,100527.0197
2021-06-08,954.739,99265.7369,100220.4759
2021-06-09,954.739,99524.0288,100478.7678
2021-06-10,954.739,100778.6657,101733.4047
2021-06-11,954.739,100705.8741,101660.6131
2021-06-14,954.739,102065.9055,103020.6445
2021-06-15,954.739,101515.274,102470.013
2021-06-16,954.739,100935.0599,101889.7989
2021-06-17,954.739,102439.2798,103394.0188
2021-06-18,954.739,101049.3238,102004.0628
2021-06-21,954.739,101215.0428,102169.7818
2021-06-22,954.739,102300.4956,103255.2346
2021-06-23,954.739,102647.5389,103602.2779
2021-06-24,954.739,102848.5181,103803.2571
2021-06-25,954.739,102175.7179,103130.4569
2021-06-28,954.739,104189.6118,105144.3508
2021-06-29,954.739,104273.921,105228.66
2021-06-30,954.739,103883.4928,104838.2318
2021-07-01,954.739,104052.3062,105007.0452
2021-07-02,954.739,105539.3868,106494.1258
2021-07-06,954.739,106786.1198,107740.8588
2021-07-07,954.739,106676.6794,107631.4184
2021-07-08,954.739,106116.279,107071.018
2021-07-09,954.739,106929.9332,107884.6722
2021-07-12,954.739,107622.6345,108577.3735
2021-07-13,954.739,107875.9689,108830.7079
2021-07-14,954.739,107963.6466,108918.3856
2021-07-15,954.739,105927.366,106882.105
2021-07-16,954.739,105013.26,105967.999
2021-07-19,954.739,103885.7396,104840.4786
2021-07-20,954.739,104935.3189,105890.0579
2021-07-21,954.739,105918.666,106873.405
2021-07-22,954.739,106834.9652,107789.7042
2021-07-23,954.739,109094.5407,110049.2796
2021-07-26,954.739,109421.4732,110376.2122
2021-07-27,954.739,107786.8618,108741.6008
2021-07-28,954.739,108995.77,109950.509
2021-07-29,954.739,108041.7785,108996.5175
2021-07-30,954.739,106022.3375,106977.0765
2021-08-02,954.739,105824.9012,106779.6402
2021-08-03,954.739,106572.6523,107527.3913
2021-08-04,954.739,106918.4452,107873.1842
2021-08-05,954.739,107795.6483,108750.3873
2021-08-06,954.739,107377.013,108331.752
2021-08-09,954.739,107315.2443,108269.9833
2021-08-10,954.739,106650.8636,107605.6026
2021-08-11,21511.0702,85724.0072,107235.0774
2021-08-12,135.3102,107595.3792,107730.6894
2021-08-13,135.3102,108133.5915,108268.9017
2021-08-16,135.3102,108541.7596,108677.0698
2021-08-17,135.3102,106927.8372,107063.1474
2021-08-18,135.3102,106168.7158,106304.026
2021-08-19,135.3102,107112.816,107248.1262
2021-08-20,19559.4883,89284.8637,108844.3519
2021-08-23,19559.4883,89968.8877,109528.376
2021-08-24,19559.4883,89978.2156,109537.7039
2021-08-25,19559.4883,90188.0009,109747.4891
2021-08-26,30.5864,108925.8027,108956.3891
2021-08-27,30.5864,109980.2413,110010.8277
2021-08-30,30.5864,111400.7736,111431.36
2021-08-31,30.5864,110972.6175,111003.2039
2021-09-01,30.5864,111210.5316,111241.118
2021-09-02,30.5864,110338.0714,110368.6578
2021-09-03,30.5864,110468.5538,110499.1402
2021-09-07,30.5864,110719.0016,110749.588
2021-09-08,30.5864,110344.2746,110374.861
2021-09-09,30.5864,109715.656,109746.2424
2021-09-10,30.5864,109009.7967,109040.3831
2021-09-13,30.5864,109376.4408,109407.0271
2021-09-14,30.5864,110008.8122,110039.3985
2021-09-15,30.5864,111216.6272,111247.2135
2021-09-16,30.5864,111119.0208,111149.6072
2021-09-17,30.5864,109012.5505,109043.1369
2021-09-20,30.5864,106931.6521,106962.2384
2021-09-21,30.5864,107199.0871,107229.6735
2021-09-22,30.5864,107311.1576,107341.744
2021-09-23,30.5864,107839.302,107869.8884
2021-09-24,30.5864,108389.5805,108420.1669
2021-09-27,30.5864,107142.3635,107172.9499
2021-09-28,30.5864,103234.1156,103264.702
2021-09-29,30.5864,103038.7277,103069.3141
2021-09-30,30.5864,102474.1382,102504.7246
2021-10-01,30.5864,104685.1854,104715.7718
2021-10-04,20563.7832,81510.4684,102074.2516
2021-10-05,20563.7832,83089.2365,103653.0197
2021-10-06,20563.7832,84260.958,104824.7412
2021-10-07,20563.7832,84894.1558,105457.939
2021-10-08,20563.7832,84982.5448,105546.328
2021-10-11,20563.7832,84712.7666,105276.5498
2021-10-12,20563.7832,84035.8727,104599.6559
2021-10-13,20563.7832,84946.7126,105510.4958
2021-10-14,20563.7832,86884.2178,107448.001
2021-10-15,20563.7832,87230.0904,107793.8736
2021-10-18,20563.7832,88109.9011,108673.6843
2021-10-19,20563.7832,88382.9368,108946.72
2021-10-20,20563.7832,87976.4005,108540.1837
2021-10-21,20563.7832,88709.9438,109273.727
2021-10-22,20563.7832,87687.2363,108251.0195
2021-10-25,20563.7832,87448.5272,108012.3104
2021-10-26,20563.7832,88164.7314,108728.5146
2021-10-27,20563.7832,92042.0522,112605.8354
2021-10-28,20563.7832,92235.8244,112799.6076
2021-10-29,20563.7832,94134.142,114697.9252
2021-11-01,20563.7832,92936.4938,113500.277
2021-11-02,20563.7832,94044.3273,114608.1105
2021-11-03,20563.7832,94413.8334,114977.6166
2021-11-04,20563.7832,95197.9517,115761.7349
2021-11-05,20563.7832,95209.0104,115772.7936
2021-11-08,20563.7832,95435.7564,115999.5396
2021-11-09,20563.7832,95196.0165,115759.7997
2021-11-10,20563.7832,93619.6624,114183.4456
2021-11-11,20563.7832,93947.5756,114511.3588
2021-11-12,20563.7832,95322.4551,115886.2383
2021-11-15,20563.7832,95148.0663,115711.8495
2021-11-16,20563.7832,95791.5373,116355.3205
2021-11-17,20563.7832,95867.6892,116431.4724
2021-11-18,20563.7832,96609.9825,117173.7657
2021-11-19,20563.7832,96859.6492,117423.4324
2021-11-22,20563.7832,95744.3428,116308.126
2021-11-23,20563.7832,95202.5608,115766.344
2021-11-24,20563.7832,95305.048,115868.8312
2021-11-26,20563.7832,92924.202,113487.9852
2021-11-29,20563.7832,94938.3565,115502.1397
2021-11-30,20563.7832,93073.7841,113637.5673
2021-12-01,20563.7832,92831.3087,113395.0919
2021-12-02,20563.7832,93007.0468,113570.83
2021-12-03,20563.7832,91469.1934,112032.9766
2021-12-06,20563.7832,92331.1429,112894.9261
2021-12-07,20563.7832,94846.9056,115410.6888
2021-12-08,20563.7832,95002.206,115565.9892
2021-12-09,20563.7832,94515.8867,115079.6699
2021-12-10,20563.7832,96591.8847,117155.6679
2021-12-13,20563.7832,95577.4021,116141.1853
2021-12-14,20563.7832,92909.5106,113473.2938
2021-12-15,20563.7832,94658.5141,115222.2973
2021-12-16,20563.7832,92258.7037,112822.4869
2021-12-17,20563.7832,91594.5327,112158.3159
2021-12-20,20563.7832,90744.0438,111307.827
2021-12-21,20563.7832,92616.4478,113180.231
2021-12-22,20563.7832,94344.33,114908.1132
2021-12-23,20563.7832,94742.0529,115305.8361
2021-12-27,20563.7832,96557.6569,117121.4401
2021-12-28,20563.7832,96108.7246,116672.5078
2021-12-29,20563.7832,96253.374,116817.1572
2021-12-30,20563.7832,95619.2726,116183.0558
2021-12-31,20563.7832,94765.0655,115328.8487
2022-01-03,37.4654,114657.1424,114694.6078
2022-01-04,37.4654,114033.8934,114071.3589
2022-01-05,37.4654,109322.7796,109360.245
2022-01-06,21816.0109,87273.1443,109089.1553
2022-01-07,21816.0109,86547.1532,108363.1641
2022-01-10,21816.0109,86804.7439,108620.7548
2022-01-11,21816.0109,87593.1773,109409.1883
2022-01-12,21816.0109,88763.3037,110579.3147
2022-01-13,21816.0109,86929.4802,108745.4911
2022-01-14,21816.0109,88304.661,110120.6719
2022-01-18,77437.4837,30724.6915,108162.1752
2022-01-19,77437.4837,30074.9669,107512.4506
2022-01-20,77437.4837,29457.4981,106894.9818
2022-01-21,77437.4837,28581.9827,106019.4663
2022-01-24,77437.4837,28911.4529,106348.9366
2022-01-25,77437.4837,28109.6651,105547.1488
2022-01-26,77437.4837,28247.9044,105685.3881
2022-01-27,77437.4837,26704.2324,104141.7161
2022-01-28,77437.4837,26987.623,104425.1066
2022-01-31,77437.4837,28144.2249,105581.7086
2022-02-01,56536.6615,49025.1683,105561.8298
2022-02-02,8099.2186,97485.9605,105585.1791
2022-02-03,8099.2186,96512.4926,104611.7113
2022-02-04,1122.2462,103114.8165,104237.0626
2022-02-07,1122.2462,103402.6085,104524.8546
2022-02-08,1122.2462,104329.8658,105452.112
2022-02-09,1070.3439,105646.4277,106716.7717
2022-02-10,1070.3439,104001.6068,105071.9507
2022-02-11,7745.3848,94984.7395,102730.1243
2022-02-14,7745.3848,94358.9049,102104.2897
2022-02-15,7745.3848,96739.7021,104485.0869
2022-02-16,28337.8898,76114.0784,104451.9682
2022-02-17,28337.8898,74791.8535,103129.7432
2022-02-18,28337.8898,74449.849,102787.7387
2022-02-22,55581.4215,46298.9282,101880.3497
2022-02-23,55581.4215,45854.7785,101436.2
2022-02-24,55581.4215,46069.7355,101651.157
2022-02-25,55581.4215,47662.5567,103243.9782
2022-02-28,55581.4215,47741.2938,103322.7152
2022-03-01,45599.8354,57871.326,103471.1614
2022-03-02,45599.8354,58683.5315,104283.3669
2022-03-03,45599.8354,59053.7954,104653.6308
2022-03-04,34466.651,70371.827,104838.478
2022-03-07,34466.651,69635.2171,104101.8682
2022-03-08,34466.651,68280.9318,102747.5828
2022-03-09,34466.651,69481.7479,103948.3989
2022-03-10,34466.651,70243.2013,104709.8523
2022-03-11,34466.651,69368.9235,103835.5745
2022-03-14,34466.651,69675.3487,104141.9997
2022-03-15,24093.9925,81765.3921,105859.3846
2022-03-16,24093.9925,81877.3019,105971.2944
2022-03-17,1213.8563,106151.5427,107365.3991
2022-03-18,1213.8563,106928.1501,108142.0064
2022-03-21,1213.8563,106748.579,107962.4353
2022-03-22,1213.8563,106503.457,107717.3133
2022-03-23,1213.8563,105846.9717,107060.828
2022-03-24,1102.4817,107362.0365,108464.5181
2022-03-25,1102.4817,107243.3667,108345.8483
2022-03-28,1102.4817,108220.7855,109323.2671
2022-03-29,1102.4817,108144.8243,109247.306
2022-03-30,1102.4817,109562.3242,110664.8059
2022-03-31,1102.4817,108382.2252,109484.7068
2022-04-01,1102.4817,109066.6645,110169.1462
2022-04-04,1102.4817,108733.6341,109836.1158
2022-04-05,1102.4817,109433.3662,110535.8479
2022-04-06,1200.0387,112239.6895,113439.7283
2022-04-07,1200.0387,114691.4827,115891.5214
2022-04-08,1200.0387,115023.3669,116223.4056
2022-04-11,1200.0387,112924.486,114124.5247
2022-04-12,1200.0387,112301.0213,113501.06
2022-04-13,1200.0387,112894.1366,114094.1754
2022-04-14,1200.0387,112603.6551,113803.6939
2022-04-18,1200.0387,111648.9981,112849.0368
2022-04-19,1200.0387,112749.5969,113949.6356
2022-04-20,1200.0387,113801.086,115001.1247
2022-04-21,1200.0387,111934.8093,113134.848
2022-04-22,1200.0387,108191.1371,109391.1758
2022-04-25,1200.0387,108693.2681,109893.3068
2022-04-26,1200.0387,106541.9666,107742.0053
2022-04-27,1200.0387,106750.4481,107950.4868
2022-04-28,1200.0387,109252.3359,110452.3746
2022-04-29,1200.0387,105204.064,106404.1028
2022-05-02,1200.0387,104200.9111,105400.9498
2022-05-03,1200.0387,103893.259,105093.2977
2022-05-04,1200.0387,106359.1451,107559.1838
2022-05-05,41906.4443,62052.9711,103959.4154
2022-05-06,30867.0558,73961.8936,104828.9494
2022-05-09,30867.0558,72028.295,102895.3508
2022-05-10,30867.0558,71737.3325,102604.3883
2022-05-11,30867.0558,71708.4385,102575.4943
2022-05-12,30867.0558,71735.1598,102602.2155
2022-05-13,30867.0558,72346.4748,103213.5306
2022-05-16,30867.0558,73559.6067,104426.6625
2022-05-17,30867.0558,74056.6447,104923.7004
2022-05-18,67137.8896,34837.7204,101975.61
2022-05-19,67137.8896,33785.0002,100922.8898
2022-05-20,67137.8896,35269.6661,102407.5557
2022-05-23,67137.8896,35712.2334,102850.123
2022-05-24,57037.5537,46171.8746,103209.4283
2022-05-25,57037.5537,46330.3282,103367.8819
2022-05-26,57037.5537,47303.6862,104341.2399
2022-05-27,35888.0255,69770.7104,105658.7359
2022-05-31,35888.0255,68100.7499,103988.7754
2022-06-01,35888.0255,67352.4885,103240.514
2022-06-02,35888.0255,67464.1047,103352.1301
2022-06-03,35888.0255,66375.0128,102263.0383
2022-06-06,35888.0255,66706.588,102594.6135
2022-06-07,35888.0255,68181.4818,104069.5073
2022-06-08,35888.0255,68085.9514,103973.9769
2022-06-09,35888.0255,65872.127,101760.1524
2022-06-10,35888.0255,63733.8011,99621.8266
2022-06-13,53410.3624,43956.5422,97366.9046
2022-06-14,53410.3624,43882.5971,97292.9596
2022-06-15,53410.3624,44214.5952,97624.9576
2022-06-16,53410.3624,43472.1268,96882.4893
2022-06-17,53410.3624,43899.197,97309.5595
2022-06-21,53410.3624,44871.0459,98281.4083
2022-06-22,53410.3624,46282.0376,99692.4001
2022-06-23,33821.9126,66789.0965,100611.0091
2022-06-24,33821.9126,68572.3106,102394.2232
2022-06-27,33821.9126,69214.184,103036.0965
2022-06-28,33821.9126,67866.921,101688.8335
2022-06-29,33821.9126,68963.857,102785.7696
2022-06-30,33821.9126,69067.9193,102889.8318
2022-07-01,33821.9126,69288.1734,103110.0859
2022-07-05,33821.9126,69184.1344,103006.047
2022-07-06,33821.9126,70026.3829,103848.2955
2022-07-07,33821.9126,69658.7046,103480.6172
2022-07-08,23725.2951,80373.1303,104098.4254
2022-07-11,23725.2951,80364.8684,104090.1634
2022-07-12,23725.2951,79087.2766,102812.5717
2022-07-13,23725.2951,78141.5871,101866.8822
2022-07-14,3506.6768,98897.9257,102404.6025
