bar_index,bar_datetime,symbol,side,qty,price,fee
2,2021-05-26T00:00:00,MSFT,BUY,85,241.29655,6.153062
2,2021-05-26T00:00:00,META,BUY,63,325.793356,6.157494
2,2021-05-26T00:00:00,AMZN,BUY,125,163.729525,6.139857
3,2021-05-27T00:00:00,TSM,BUY,191,106.856935,6.122902
10,2021-06-08T00:00:00,GOOGL,BUY,143,119.611909,5.131351
56,2021-08-12T00:00:00,AMZN,SELL,125,164.5,6.16875
57,2021-08-13T00:00:00,MSFT,BUY,73,277.813011,6.084105
57,2021-08-13T00:00:00,GOOGL,BUY,8,136.124929,0.3267
63,2021-08-23T00:00:00,TSM,SELL,191,101.727786,5.829002
67,2021-08-27T00:00:00,MSFT,BUY,64,287.48616,5.519734
67,2021-08-27T00:00:00,GOOGL,BUY,8,140.49134,0.337179
93,2021-10-05T00:00:00,META,SELL,63,326.021565,6.161808
156,2022-01-04T00:00:00,TSM,BUY,161,122.124842,5.89863
156,2022-01-04T00:00:00,V,BUY,4,214.51555,0.257419
159,2022-01-07T00:00:00,GOOGL,SELL,159,137.013088,6.535524
166,2022-01-19T00:00:00,MSFT,SELL,222,295.047046,19.650133
166,2022-01-19T00:00:00,V,SELL,4,205.818974,0.246983
166,2022-01-19T00:00:00,TSM,BUY,85,125.637019,3.203744
176,2022-02-02T00:00:00,COST,BUY,43,485.919856,6.268366
177,2022-02-03T00:00:00,UNH,BUY,60,462.49145,8.324846
177,2022-02-03T00:00:00,LLY,BUY,87,237.62562,6.202029
179,2022-02-07T00:00:00,AMZN,BUY,44,158.52,2.092464
182,2022-02-10T00:00:00,NVDA,BUY,2,25.943337,0.015566
184,2022-02-14T00:00:00,AMZN,SELL,44,151.751,2.003113
187,2022-02-17T00:00:00,LLY,SELL,87,236.766489,6.179605
190,2022-02-23T00:00:00,NVDA,SELL,2,23.754695,0.014253
190,2022-02-23T00:00:00,TSM,SELL,246,110.58617,8.161259
195,2022-03-02T00:00:00,COST,BUY,20,498.929627,2.993578
198,2022-03-07T00:00:00,UNH,BUY,24,463.743558,3.338954
205,2022-03-16T00:00:00,COST,BUY,20,518.477385,3.110864
207,2022-03-18T00:00:00,LLY,BUY,83,275.581616,6.861982
212,2022-03-25T00:00:00,NVDA,BUY,4,27.835321,0.033402
221,2022-04-07T00:00:00,NVDA,SELL,4,24.396582,0.029276
241,2022-05-06T00:00:00,COST,SELL,83,490.585797,12.215586
242,2022-05-09T00:00:00,LLY,BUY,39,282.976351,3.310823
250,2022-05-19T00:00:00,UNH,SELL,84,431.925219,10.884516
254,2022-05-25T00:00:00,LLY,BUY,34,296.97961,3.029192
257,2022-05-31T00:00:00,NVDA,BUY,1116,18.945507,6.342956
267,2022-06-14T00:00:00,NVDA,SELL,1116,15.705731,5.258279
274,2022-06-24T00:00:00,UNH,BUY,42,466.251788,5.874773
284,2022-07-11T00:00:00,UNH,BUY,21,480.647116,3.028077
288,2022-07-15T00:00:00,COST,BUY,41,492.989133,6.063766
290,2022-07-19T00:00:00,NVDA,BUY,154,16.459518,0.76043
296,2022-07-27T00:00:00,COST,SELL,41,489.345981,6.018956
297,2022-07-28T00:00:00,UNH,BUY,21,501.773333,3.161172
300,2022-08-02T00:00:00,NVDA,SELL,154,18.09289,0.835892
310,2022-08-16T00:00:00,V,BUY,58,208.421482,3.626534
315,2022-08-23T00:00:00,V,SELL,58,202.05858,3.515819
336,2022-09-22T00:00:00,LLY,SELL,156,291.931916,13.662414
342,2022-09-30T00:00:00,UNH,SELL,84,478.634092,12.061579
358,2022-10-24T00:00:00,LLY,BUY,59,334.071822,5.913071
363,2022-10-31T00:00:00,UNH,BUY,44,519.745493,6.860641
363,2022-10-31T00:00:00,V,BUY,106,202.9523,6.453883
363,2022-10-31T00:00:00,COST,BUY,40,487.759278,5.853111
364,2022-11-01T00:00:00,COST,SELL,40,482.079034,5.784948
366,2022-11-03T00:00:00,V,SELL,106,192.616227,6.125196
368,2022-11-07T00:00:00,LLY,BUY,27,347.445565,2.814309
374,2022-11-15T00:00:00,UNH,SELL,44,480.23547,6.339108
385,2022-12-01T00:00:00,COST,BUY,41,496.856283,6.111332
385,2022-12-01T00:00:00,LLY,BUY,27,364.755215,2.954517
386,2022-12-02T00:00:00,COST,SELL,41,477.121381,5.868593
386,2022-12-02T00:00:00,V,BUY,98,210.038262,6.175125
394,2022-12-14T00:00:00,NVDA,BUY,1041,17.968039,5.611418
396,2022-12-16T00:00:00,NVDA,SELL,1041,16.846422,5.261138
413,2023-01-12T00:00:00,V,BUY,58,216.240198,3.762579
414,2023-01-13T00:00:00,TSM,BUY,226,81.319575,5.513467
416,2023-01-18T00:00:00,NVDA,BUY,118,17.648376,0.624753
428,2023-02-03T00:00:00,LLY,SELL,113,324.035457,10.984802
429,2023-02-06T00:00:00,NVDA,BUY,447,20.784067,2.787143
429,2023-02-06T00:00:00,TSM,BUY,104,87.403548,2.726991
429,2023-02-06T00:00:00,V,BUY,52,222.666066,3.473591
431,2023-02-08T00:00:00,MSFT,BUY,25,265.63764,1.992282
441,2023-02-23T00:00:00,MSFT,SELL,25,249.108309,1.868312
442,2023-02-24T00:00:00,NVDA,BUY,264,23.200517,1.837481
484,2023-04-26T00:00:00,TSM,SELL,330,78.710897,7.792379
485,2023-04-27T00:00:00,MSFT,BUY,76,288.498146,6.577758
486,2023-04-28T00:00:00,META,BUY,17,237.148988,1.20946
486,2023-04-28T00:00:00,AMZN,BUY,9,107.73,0.290871
487,2023-05-01T00:00:00,AMZN,SELL,9,104.95,0.283365
587,2023-09-22T00:00:00,MSFT,SELL,76,314.557446,7.17191
588,2023-09-25T00:00:00,UNH,BUY,49,482.982034,7.099836
588,2023-09-25T00:00:00,META,BUY,4,293.338047,0.352006
590,2023-09-27T00:00:00,V,SELL,208,225.486306,14.070346
598,2023-10-09T00:00:00,LLY,BUY,52,553.31061,8.631646
598,2023-10-09T00:00:00,GOOGL,BUY,133,135.81747,5.419117
612,2023-10-27T00:00:00,GOOGL,SELL,133,121.872723,4.862722
615,2023-11-01T00:00:00,AMZN,BUY,114,133.96,4.581432
615,2023-11-01T00:00:00,UNH,BUY,2,503.621804,0.302173
669,2024-01-22T00:00:00,UNH,SELL,51,480.510537,7.351811
670,2024-01-23T00:00:00,AMZN,BUY,115,154.85,5.342325
670,2024-01-23T00:00:00,LLY,BUY,10,616.909414,1.850728
792,2024-07-18T00:00:00,META,SELL,21,472.269974,2.975301
793,2024-07-19T00:00:00,AMZN,BUY,45,181.14,2.44539
793,2024-07-19T00:00:00,LLY,BUY,2,855.708729,0.513425
804,2024-08-05T00:00:00,AMZN,SELL,274,154.21,12.676062
804,2024-08-05T00:00:00,LLY,SELL,64,747.559201,14.353137
808,2024-08-09T00:00:00,COST,BUY,56,830.698471,13.955734
811,2024-08-14T00:00:00,TSM,BUY,221,168.006761,11.138848
813,2024-08-16T00:00:00,META,BUY,9,528.842945,1.427876
815,2024-08-20T00:00:00,GOOGL,BUY,1,165.721864,0.049717
825,2024-09-04T00:00:00,GOOGL,SELL,1,155.549183,0.046665
840,2024-09-25T00:00:00,TSM,BUY,1,178.083183,0.053425
924,2025-01-28T00:00:00,NVDA,SELL,829,121.770099,30.284224
925,2025-01-29T00:00:00,AMZN,BUY,204,239.015,14.627718
925,2025-01-29T00:00:00,TSM,BUY,102,201.247161,6.158163
925,2025-01-29T00:00:00,META,BUY,30,672.302599,6.050723
925,2025-01-29T00:00:00,COST,BUY,14,950.149295,3.990627
946,2025-02-28T00:00:00,TSM,SELL,324,176.46647,17.152541
946,2025-02-28T00:00:00,AMZN,SELL,204,208.65,12.76938
947,2025-03-03T00:00:00,V,BUY,207,359.558067,22.328556
947,2025-03-03T00:00:00,COST,BUY,24,1044.49175,7.520341
953,2025-03-11T00:00:00,META,SELL,39,592.677071,6.934322
956,2025-03-14T00:00:00,COST,SELL,94,885.663935,24.975723
963,2025-03-25T00:00:00,LLY,BUY,40,861.675739,10.340109
964,2025-03-26T00:00:00,LLY,SELL,40,838.031804,10.056382
972,2025-04-07T00:00:00,V,SELL,207,299.2058,18.58068
974,2025-04-09T00:00:00,UNH,BUY,61,544.778218,9.969441
981,2025-04-21T00:00:00,UNH,SELL,61,437.425378,8.004884
981,2025-04-21T00:00:00,COST,BUY,32,986.156567,9.467103
985,2025-04-25T00:00:00,LLY,BUY,37,851.875298,9.455816
990,2025-05-02T00:00:00,LLY,SELL,37,817.643122,9.075839
990,2025-05-02T00:00:00,MSFT,BUY,74,427.533878,9.491252
991,2025-05-05T00:00:00,META,BUY,53,589.381277,9.371162
995,2025-05-09T00:00:00,V,BUY,91,348.49398,9.513886
997,2025-05-13T00:00:00,AMZN,BUY,153,211.08,9.688572
997,2025-05-13T00:00:00,TSM,BUY,7,185.456232,0.389458
1007,2025-05-28T00:00:00,AMZN,SELL,153,205.915,9.451498
1008,2025-05-29T00:00:00,TSM,BUY,84,197.054656,4.965777
1008,2025-05-29T00:00:00,MSFT,BUY,32,458.884283,4.405289
1023,2025-06-20T00:00:00,COST,SELL,32,978.48191,9.393426
1024,2025-06-23T00:00:00,TSM,BUY,87,204.884916,5.347496
1024,2025-06-23T00:00:00,MSFT,BUY,28,475.448062,3.993764
1053,2025-08-04T00:00:00,V,SELL,91,339.01717,9.255169
1058,2025-08-11T00:00:00,GOOGL,BUY,146,200.483083,8.781159
1116,2025-10-31T00:00:00,META,SELL,53,673.383782,10.706802
1117,2025-11-03T00:00:00,GOOGL,BUY,81,281.792182,6.84755
1130,2025-11-20T00:00:00,MSFT,SELL,134,491.587962,19.761836
1130,2025-11-20T00:00:00,GOOGL,BUY,44,304.12684,4.014474
1132,2025-11-24T00:00:00,LLY,BUY,37,1053.196154,11.690477
1153,2025-12-24T00:00:00,NVDA,BUY,138,187.929828,7.780295
1170,2026-01-21T00:00:00,NVDA,SELL,138,179.040309,7.412269
1177,2026-01-30T00:00:00,META,BUY,33,726.877658,7.196089
1181,2026-02-05T00:00:00,META,SELL,33,663.012338,6.563822
1195,2026-02-26T00:00:00,NVDA,BUY,116,194.259486,6.76023
