date,cash,position_value,nav
2021-05-24,100000.0,0.0,100000.0
2021-05-25,87500.8191,12473.1414,99973.9605
2021-05-26,74990.1699,24974.8087,99964.9786
2021-05-27,68652.3646,31262.9856,99915.3501
2021-05-28,68652.3646,31352.7521,100005.1167
2021-06-01,68652.3646,31283.3752,99935.7398
2021-06-02,68652.3646,31219.5137,99871.8782
2021-06-03,68652.3646,30530.1488,99182.5134
2021-06-04,68652.3646,31241.0809,99893.4454
2021-06-07,68652.3646,31139.3732,99791.7378
2021-06-08,68652.3646,31088.6445,99741.0091
2021-06-09,68652.3646,31170.3713,99822.7358
2021-06-10,68652.3646,31629.9958,100282.3603
2021-06-11,68652.3646,31666.4728,100318.8374
2021-06-14,68652.3646,32084.7367,100737.1013
2021-06-15,68652.3646,31708.467,100360.8315
2021-06-16,68652.3646,31654.1558,100306.5203
2021-06-17,68652.3646,32158.652,100811.0166
2021-06-18,68652.3646,31897.2192,100549.5838
2021-06-21,68652.3646,31862.495,100514.8596
2021-06-22,68652.3646,32069.2941,100721.6587
2021-06-23,68652.3646,32514.0187,101166.3833
2021-06-24,68652.3646,32789.7679,101442.1325
2021-06-25,68652.3646,32432.1,101084.4646
2021-06-28,68652.3646,33087.747,101740.1116
2021-06-29,68652.3646,33176.4544,101828.819
2021-06-30,68652.3646,33130.1367,101782.5012
2021-07-01,68652.3646,32922.1726,101574.5371
2021-07-02,68652.3646,33238.2566,101890.6212
2021-07-06,68652.3646,33490.7718,102143.1364
2021-07-07,68652.3646,33287.4335,101939.798
2021-07-08,68652.3646,33364.6244,102016.989
2021-07-09,68652.3646,33676.225,102328.5895
2021-07-12,68652.3646,34136.8103,102789.1749
2021-07-13,68652.3646,34024.8138,102677.1784
2021-07-14,68652.3646,33913.7981,102566.1626
2021-07-15,68652.3646,33316.3444,101968.709
2021-07-16,74869.0507,26596.6183,101465.669
2021-07-19,74869.0507,26445.0144,101314.0651
2021-07-20,74869.0507,26729.964,101599.0147
2021-07-21,74869.0507,26894.2877,101763.3384
2021-07-22,74869.0507,27016.0915,101885.1422
2021-07-23,74869.0507,27173.3898,102042.4404
2021-07-26,74869.0507,27369.9966,102239.0473
2021-07-27,74869.0507,26945.9782,101815.0289
2021-07-28,74869.0507,26998.5727,101867.6233
2021-07-29,74869.0507,27339.2629,102208.3136
2021-07-30,81238.0294,20575.7662,101813.7956
2021-08-02,81238.0294,20788.4362,102026.4656
2021-08-03,81238.0294,20875.1929,102113.2223
2021-08-04,81238.0294,20885.494,102123.5234
2021-08-05,81238.0294,20995.9333,102233.9627
2021-08-06,81238.0294,20808.7047,102046.7341
2021-08-09,81238.0294,20916.9177,102154.9471
2021-08-10,81238.0294,20799.1801,102037.2095
2021-08-11,81238.0294,20807.732,102045.7614
2021-08-12,81238.0294,21033.0398,102271.0692
2021-08-13,81238.0294,21083.9085,102321.9379
2021-08-16,81238.0294,20844.4784,102082.5078
2021-08-17,81238.0294,20473.5639,101711.5933
2021-08-18,87572.0399,14158.0472,101730.0871
2021-08-19,87572.0399,14153.8481,101725.8879
2021-08-20,87572.0399,14411.4965,101983.5364
2021-08-23,87572.0399,14679.1439,102251.1837
2021-08-24,87572.0399,14650.2939,102222.3338
2021-08-25,87572.0399,14662.1437,102234.1836
2021-08-26,87572.0399,14488.745,102060.7849
2021-08-27,87572.0399,14612.0939,102184.1337
2021-08-30,87572.0399,14898.7415,102470.7814
2021-08-31,87572.0399,14904.0913,102476.1311
2021-09-01,87572.0399,14886.5414,102458.5813
2021-09-02,87572.0399,14852.5417,102424.5815
2021-09-03,87572.0399,14864.0916,102436.1314
2021-09-07,87572.0399,15033.5897,102605.6296
