bar_index,bar_datetime,symbol,side,qty,price,fee
2,2021-05-26T00:00:00,MSFT,BUY,26,241.29655,1.882113
2,2021-05-26T00:00:00,AMZN,BUY,38,163.729525,1.866517
3,2021-05-27T00:00:00,TSM,BUY,59,106.856935,1.891368
3,2021-05-27T00:00:00,TSLA,BUY,30,206.744599,1.860701
4,2021-05-28T00:00:00,AVGO,BUY,149,42.52285,1.900771
38,2021-07-19T00:00:00,TSM,SELL,59,105.399181,1.865566
48,2021-08-02T00:00:00,AMZN,SELL,38,167.655,1.911267
61,2021-08-19T00:00:00,AVGO,SELL,149,42.522894,1.900773
89,2021-09-29T00:00:00,MSFT,SELL,26,274.133338,2.13824
119,2021-11-10T00:00:00,TSLA,SELL,30,336.799965,3.0312
156,2022-01-04T00:00:00,TSM,BUY,55,122.124842,2.01506
169,2022-01-24T00:00:00,TSM,SELL,55,115.47512,1.905339
214,2022-03-29T00:00:00,AMZN,BUY,39,170.384,1.993493
215,2022-03-30T00:00:00,NVDA,BUY,231,28.252561,1.957903
215,2022-03-30T00:00:00,AVGO,BUY,110,59.455324,1.962026
219,2022-04-05T00:00:00,TSLA,BUY,17,378.762879,1.931691
221,2022-04-07T00:00:00,NVDA,SELL,231,24.396582,1.690683
223,2022-04-11T00:00:00,AVGO,SELL,110,54.216793,1.789154
223,2022-04-11T00:00:00,AMZN,SELL,39,152.713,1.786742
224,2022-04-12T00:00:00,TSLA,SELL,17,332.543341,1.695971
381,2022-11-25T00:00:00,AVGO,BUY,127,50.21474,1.913182
394,2022-12-14T00:00:00,NVDA,BUY,357,17.968039,1.924377
401,2022-12-23T00:00:00,NVDA,SELL,357,15.179981,1.625776
414,2023-01-13T00:00:00,TSM,BUY,77,81.319575,1.878482
420,2023-01-24T00:00:00,NVDA,BUY,336,18.807153,1.895761
428,2023-02-03T00:00:00,MSFT,BUY,25,252.357703,1.892683
428,2023-02-03T00:00:00,AMZN,BUY,57,105.26,1.799946
432,2023-02-09T00:00:00,AMZN,SELL,57,101.32,1.732572
441,2023-02-23T00:00:00,AVGO,SELL,127,55.887055,2.129297
441,2023-02-23T00:00:00,TSM,SELL,77,85.975385,1.986031
444,2023-02-28T00:00:00,MSFT,SELL,25,242.782151,1.820866
448,2023-03-06T00:00:00,AVGO,BUY,114,60.586052,2.072043
457,2023-03-17T00:00:00,MSFT,BUY,25,271.235241,2.034264
485,2023-04-27T00:00:00,AVGO,SELL,114,59.214521,2.025137
486,2023-04-28T00:00:00,AMZN,BUY,60,107.73,1.93914
500,2023-05-18T00:00:00,AVGO,BUY,126,63.040176,2.382919
506,2023-05-26T00:00:00,TSM,BUY,80,96.5223,2.316535
511,2023-06-05T00:00:00,TSLA,BUY,33,217.8,2.15622
543,2023-07-21T00:00:00,TSM,SELL,80,94.064186,2.25754
548,2023-07-28T00:00:00,MSFT,SELL,25,325.957411,2.444681
548,2023-07-28T00:00:00,TSLA,SELL,33,259.86,2.572614
557,2023-08-10T00:00:00,NVDA,SELL,336,42.127069,4.246409
557,2023-08-10T00:00:00,AVGO,SELL,126,82.419752,3.115467
586,2023-09-21T00:00:00,AMZN,SELL,60,131.94,2.37492
617,2023-11-03T00:00:00,MSFT,BUY,23,342.271629,2.361674
623,2023-11-13T00:00:00,AVGO,BUY,78,92.284029,2.159446
623,2023-11-13T00:00:00,TSM,BUY,77,93.705898,2.164606
629,2023-11-21T00:00:00,NVDA,BUY,146,50.090974,2.193985
636,2023-12-01T00:00:00,AVGO,SELL,78,89.604048,2.096735
638,2023-12-05T00:00:00,NVDA,SELL,146,45.438224,1.990194
643,2023-12-12T00:00:00,AVGO,BUY,72,99.854807,2.156864
648,2023-12-19T00:00:00,AMZN,BUY,53,154.4,2.45496
659,2024-01-05T00:00:00,AVGO,SELL,72,102.617885,2.216546
659,2024-01-05T00:00:00,AMZN,SELL,53,144.69,2.300571
661,2024-01-09T00:00:00,NVDA,BUY,139,52.368987,2.183787
669,2024-01-22T00:00:00,AVGO,BUY,69,118.684864,2.456777
674,2024-01-29T00:00:00,AMZN,BUY,61,159.34,2.915922
