bar_index,bar_datetime,symbol,side,qty,price,fee
2,2021-05-26T00:00:00,MSFT,BUY,85,241.29655,6.153062
2,2021-05-26T00:00:00,AMZN,BUY,125,163.729525,6.139857
3,2021-05-27T00:00:00,TSM,BUY,191,106.856935,6.122902
3,2021-05-27T00:00:00,TSLA,BUY,95,206.744599,5.892221
4,2021-05-28T00:00:00,AVGO,BUY,424,42.52285,5.408906
56,2021-08-12T00:00:00,AMZN,SELL,125,164.5,6.16875
63,2021-08-23T00:00:00,TSM,SELL,191,101.727786,5.829002
156,2022-01-04T00:00:00,TSM,BUY,226,122.124842,8.280064
166,2022-01-19T00:00:00,MSFT,SELL,85,295.047046,7.5237
167,2022-01-20T00:00:00,AVGO,SELL,424,52.504882,6.678621
173,2022-01-28T00:00:00,TSM,SELL,226,110.736023,7.507902
173,2022-01-28T00:00:00,TSLA,SELL,95,277.183895,7.899741
179,2022-02-07T00:00:00,AMZN,BUY,140,158.52,6.65784
182,2022-02-10T00:00:00,NVDA,BUY,834,25.943337,6.491023
194,2022-03-01T00:00:00,AMZN,SELL,140,152.7325,6.414765
198,2022-03-07T00:00:00,AVGO,BUY,390,55.192984,6.457579
199,2022-03-08T00:00:00,NVDA,SELL,834,21.270274,5.321823
208,2022-03-21T00:00:00,TSLA,BUY,70,304.990283,6.404796
208,2022-03-21T00:00:00,MSFT,BUY,73,288.514007,6.318457
223,2022-04-11T00:00:00,MSFT,SELL,73,281.660484,6.168365
234,2022-04-27T00:00:00,AVGO,SELL,390,51.723629,6.051665
234,2022-04-27T00:00:00,TSLA,SELL,70,299.523671,6.289997
257,2022-05-31T00:00:00,NVDA,BUY,1106,18.945507,6.286119
272,2022-06-22T00:00:00,NVDA,SELL,1106,16.199935,5.375139
292,2022-07-21T00:00:00,NVDA,BUY,1134,17.85627,6.074703
307,2022-08-11T00:00:00,NVDA,SELL,1134,18.101875,6.158258
329,2022-09-13T00:00:00,TSLA,BUY,66,292.9,5.79942
344,2022-10-04T00:00:00,TSLA,SELL,66,250.52,4.960296
381,2022-11-25T00:00:00,AVGO,BUY,389,50.21474,5.86006
394,2022-12-14T00:00:00,NVDA,BUY,1105,17.968039,5.956405
403,2022-12-28T00:00:00,NVDA,SELL,1105,13.912319,4.611934
414,2023-01-13T00:00:00,TSM,BUY,231,81.319575,5.635447
423,2023-01-27T00:00:00,NVDA,BUY,994,19.441484,5.79745
428,2023-02-03T00:00:00,MSFT,BUY,80,252.357703,6.056585
443,2023-02-27T00:00:00,MSFT,SELL,80,246.08657,5.906078
467,2023-03-31T00:00:00,MSFT,BUY,84,276.567149,6.969492
484,2023-04-26T00:00:00,TSM,SELL,231,78.710897,5.454665
587,2023-09-22T00:00:00,MSFT,SELL,84,314.557446,7.926848
600,2023-10-11T00:00:00,TSLA,BUY,102,266.2,8.14572
601,2023-10-12T00:00:00,TSM,BUY,332,89.359165,8.900173
608,2023-10-23T00:00:00,TSLA,SELL,102,210.0,6.426
611,2023-10-26T00:00:00,MSFT,BUY,64,333.372938,6.40076
616,2023-11-02T00:00:00,TSM,SELL,332,87.321031,8.697175
798,2024-07-26T00:00:00,MSFT,SELL,64,411.729352,7.905204
807,2024-08-08T00:00:00,AVGO,SELL,389,138.812839,16.199458
811,2024-08-14T00:00:00,TSM,BUY,265,168.006761,13.356537
815,2024-08-20T00:00:00,TSLA,BUY,213,224.88,14.369832
831,2024-09-12T00:00:00,MSFT,BUY,38,417.511459,4.759631
846,2024-10-03T00:00:00,MSFT,SELL,38,411.909265,4.695766
850,2024-10-09T00:00:00,AVGO,BUY,86,176.789291,4.561164
924,2025-01-28T00:00:00,NVDA,SELL,994,121.770099,36.311844
935,2025-02-12T00:00:00,TSLA,SELL,213,329.94,21.083166
946,2025-02-28T00:00:00,TSM,SELL,265,176.46647,14.029084
951,2025-03-07T00:00:00,AVGO,SELL,86,185.659332,4.790011
963,2025-03-25T00:00:00,AMZN,BUY,250,203.595,15.269625
964,2025-03-26T00:00:00,TSLA,BUY,176,282.66,14.924448
973,2025-04-08T00:00:00,TSLA,SELL,176,245.0,12.936
978,2025-04-15T00:00:00,AMZN,SELL,250,181.41,13.60575
985,2025-04-25T00:00:00,AVGO,BUY,259,185.417639,14.406951
990,2025-05-02T00:00:00,MSFT,BUY,116,427.533878,14.878179
996,2025-05-12T00:00:00,TSLA,BUY,166,321.99,16.035102
997,2025-05-13T00:00:00,TSM,BUY,273,185.456232,15.188865
998,2025-05-14T00:00:00,NVDA,BUY,308,133.163614,12.304318
1014,2025-06-06T00:00:00,TSLA,SELL,166,298.83,14.881734
1130,2025-11-20T00:00:00,MSFT,SELL,116,491.587962,17.107261
1149,2025-12-18T00:00:00,NVDA,SELL,308,174.520554,16.125699
1161,2026-01-07T00:00:00,AMZN,BUY,335,239.61,24.080805
1172,2026-01-23T00:00:00,AVGO,SELL,259,318.631599,24.757675
1176,2026-01-29T00:00:00,NVDA,BUY,355,191.329644,20.376607
1182,2026-02-06T00:00:00,AMZN,SELL,335,202.7,20.37135
1197,2026-03-02T00:00:00,NVDA,SELL,355,175.000528,18.637556
1203,2026-03-10T00:00:00,AVGO,BUY,184,347.999993,19.2096
1218,2026-03-31T00:00:00,AVGO,SELL,184,299.39,16.526328
1224,2026-04-09T00:00:00,NVDA,BUY,344,181.84,18.765888
1225,2026-04-10T00:00:00,AMZN,BUY,277,235.295,19.553014
1231,2026-04-20T00:00:00,TSLA,BUY,162,402.58,19.565388
1250,2026-05-15T00:00:00,AVGO,BUY,46,432.81,5.972778
1252,2026-05-19T00:00:00,TSLA,SELL,162,403.16,19.593576
