bar_index,bar_datetime,symbol,side,qty,price,fee
2,2021-05-26T00:00:00,MSFT,BUY,85,241.29655,6.153062
2,2021-05-26T00:00:00,AMZN,BUY,125,163.729525,6.139857
3,2021-05-27T00:00:00,TSM,BUY,191,106.856935,6.122902
3,2021-05-27T00:00:00,TSLA,BUY,95,206.744599,5.892221
4,2021-05-28T00:00:00,AVGO,BUY,424,42.52285,5.408906
56,2021-08-12T00:00:00,AMZN,SELL,125,164.5,6.16875
63,2021-08-23T00:00:00,TSM,SELL,191,101.727786,5.829002
102,2021-10-18T00:00:00,TSM,BUY,273,105.31605,8.625385
166,2022-01-19T00:00:00,MSFT,SELL,85,295.047046,7.5237
167,2022-01-20T00:00:00,AVGO,SELL,424,52.504882,6.678621
173,2022-01-28T00:00:00,TSM,SELL,273,110.736023,9.06928
173,2022-01-28T00:00:00,TSLA,SELL,95,277.183895,7.899741
179,2022-02-07T00:00:00,AMZN,BUY,145,158.52,6.89562
182,2022-02-10T00:00:00,NVDA,BUY,864,25.943337,6.724513
184,2022-02-14T00:00:00,AMZN,SELL,145,151.751,6.601168
190,2022-02-23T00:00:00,NVDA,SELL,864,23.754695,6.157217
198,2022-03-07T00:00:00,AVGO,BUY,406,55.192984,6.722505
208,2022-03-21T00:00:00,TSLA,BUY,74,304.990283,6.770784
208,2022-03-21T00:00:00,MSFT,BUY,77,288.514007,6.664674
209,2022-03-22T00:00:00,MSFT,SELL,77,289.392416,6.684965
212,2022-03-25T00:00:00,NVDA,BUY,823,27.835321,6.872541
221,2022-04-07T00:00:00,NVDA,SELL,823,24.396582,6.023516
234,2022-04-27T00:00:00,AVGO,SELL,406,51.723629,6.299938
234,2022-04-27T00:00:00,TSLA,SELL,74,299.523671,6.649426
257,2022-05-31T00:00:00,NVDA,BUY,1143,18.945507,6.496414
267,2022-06-14T00:00:00,NVDA,SELL,1143,15.705731,5.385495
290,2022-07-19T00:00:00,NVDA,BUY,1290,16.459518,6.369833
300,2022-08-02T00:00:00,NVDA,SELL,1290,18.09289,7.001948
329,2022-09-13T00:00:00,TSLA,BUY,69,292.9,6.06303
330,2022-09-14T00:00:00,TSLA,SELL,69,292.24,6.049368
381,2022-11-25T00:00:00,AVGO,BUY,418,50.21474,6.296928
383,2022-11-29T00:00:00,AVGO,SELL,418,49.4871,6.205682
394,2022-12-14T00:00:00,NVDA,BUY,1167,17.968039,6.29061
396,2022-12-16T00:00:00,NVDA,SELL,1167,16.846422,5.897932
410,2023-01-09T00:00:00,AVGO,BUY,384,56.511998,6.510182
414,2023-01-13T00:00:00,TSM,BUY,250,81.319575,6.098968
416,2023-01-18T00:00:00,NVDA,BUY,1181,17.648376,6.25282
428,2023-02-03T00:00:00,MSFT,BUY,89,252.357703,6.737951
441,2023-02-23T00:00:00,MSFT,SELL,89,249.108309,6.651192
467,2023-03-31T00:00:00,MSFT,BUY,93,276.567149,7.716223
484,2023-04-26T00:00:00,TSM,SELL,250,78.710897,5.903317
587,2023-09-22T00:00:00,MSFT,SELL,93,314.557446,8.776153
600,2023-10-11T00:00:00,TSLA,BUY,113,266.2,9.02418
601,2023-10-12T00:00:00,TSM,BUY,377,89.359165,10.106522
603,2023-10-16T00:00:00,TSM,SELL,377,87.398306,9.884748
607,2023-10-20T00:00:00,TSLA,SELL,113,217.01,7.356639
611,2023-10-26T00:00:00,MSFT,BUY,115,333.372938,11.501366
798,2024-07-26T00:00:00,MSFT,SELL,115,411.729352,14.204663
807,2024-08-08T00:00:00,AVGO,SELL,384,138.812839,15.991239
811,2024-08-14T00:00:00,TSM,BUY,303,168.006761,15.271815
815,2024-08-20T00:00:00,TSLA,BUY,245,224.88,16.52868
831,2024-09-12T00:00:00,MSFT,BUY,29,417.511459,3.63235
832,2024-09-13T00:00:00,AVGO,BUY,1,163.916138,0.049175
845,2024-10-02T00:00:00,MSFT,SELL,29,416.791459,3.626086
888,2024-12-03T00:00:00,MSFT,BUY,27,424.80061,3.440885
907,2024-12-31T00:00:00,MSFT,SELL,27,421.104458,3.410946
924,2025-01-28T00:00:00,NVDA,SELL,1181,121.770099,43.143146
935,2025-02-12T00:00:00,TSLA,SELL,245,329.94,24.25059
946,2025-02-28T00:00:00,TSM,SELL,303,176.46647,16.040802
951,2025-03-07T00:00:00,AVGO,SELL,1,185.659332,0.055698
963,2025-03-25T00:00:00,AMZN,BUY,285,203.595,17.407372
964,2025-03-26T00:00:00,TSLA,BUY,201,282.66,17.044398
965,2025-03-27T00:00:00,TSLA,SELL,201,272.48,16.430544
967,2025-03-31T00:00:00,AMZN,SELL,285,188.19,16.090245
985,2025-04-25T00:00:00,AVGO,BUY,303,185.417639,16.854463
990,2025-05-02T00:00:00,MSFT,BUY,136,427.533878,17.443382
996,2025-05-12T00:00:00,TSLA,BUY,195,321.99,18.836415
997,2025-05-13T00:00:00,TSM,BUY,319,185.456232,17.748161
998,2025-05-14T00:00:00,NVDA,BUY,362,133.163614,14.461568
1014,2025-06-06T00:00:00,TSLA,SELL,195,298.83,17.481555
1130,2025-11-20T00:00:00,MSFT,SELL,136,491.587962,20.056789
1149,2025-12-18T00:00:00,NVDA,SELL,362,174.520554,18.952932
1161,2026-01-07T00:00:00,AMZN,BUY,393,239.61,28.250019
1172,2026-01-23T00:00:00,AVGO,SELL,303,318.631599,28.963612
1176,2026-01-29T00:00:00,NVDA,BUY,416,191.329644,23.87794
1182,2026-02-06T00:00:00,AMZN,SELL,393,202.7,23.89833
1197,2026-03-02T00:00:00,NVDA,SELL,416,175.000528,21.840066
1203,2026-03-10T00:00:00,AVGO,BUY,215,347.999993,22.446
1207,2026-03-16T00:00:00,AVGO,SELL,215,325.337532,20.984271
1224,2026-04-09T00:00:00,NVDA,BUY,410,181.84,22.36632
1225,2026-04-10T00:00:00,AMZN,BUY,329,235.295,23.223616
1227,2026-04-14T00:00:00,AVGO,BUY,199,377.9,22.56063
