bar_index,bar_datetime,symbol,side,qty,price,fee
2,2021-05-26T00:00:00,MSFT,BUY,85,241.29655,6.153062
2,2021-05-26T00:00:00,AMZN,BUY,125,163.729525,6.139857
3,2021-05-27T00:00:00,TSM,BUY,191,106.856935,6.122902
3,2021-05-27T00:00:00,TSLA,BUY,95,206.744599,5.892221
4,2021-05-28T00:00:00,AVGO,BUY,424,42.52285,5.408906
56,2021-08-12T00:00:00,AMZN,SELL,125,164.5,6.16875
57,2021-08-13T00:00:00,MSFT,BUY,73,277.813011,6.084105
57,2021-08-13T00:00:00,AVGO,BUY,26,44.005519,0.343243
63,2021-08-23T00:00:00,TSM,SELL,191,101.727786,5.829002
67,2021-08-27T00:00:00,MSFT,BUY,63,287.48616,5.433488
68,2021-08-30T00:00:00,AVGO,BUY,5,45.591181,0.068387
166,2022-01-19T00:00:00,MSFT,SELL,221,295.047046,19.561619
167,2022-01-20T00:00:00,AVGO,SELL,455,52.504882,7.166916
167,2022-01-20T00:00:00,TSLA,BUY,36,336.573301,3.634992
179,2022-02-07T00:00:00,AMZN,BUY,148,158.52,7.038288
182,2022-02-10T00:00:00,NVDA,BUY,885,25.943337,6.887956
184,2022-02-14T00:00:00,TSLA,SELL,131,287.187128,11.286454
184,2022-02-14T00:00:00,AMZN,SELL,148,151.751,6.737744
190,2022-02-23T00:00:00,NVDA,SELL,885,23.754695,6.306872
198,2022-03-07T00:00:00,AVGO,BUY,405,55.192984,6.705948
208,2022-03-21T00:00:00,TSLA,BUY,74,304.990283,6.770784
208,2022-03-21T00:00:00,MSFT,BUY,77,288.514007,6.664674
209,2022-03-22T00:00:00,MSFT,SELL,77,289.392416,6.684965
212,2022-03-25T00:00:00,NVDA,BUY,820,27.835321,6.847489
212,2022-03-25T00:00:00,AVGO,BUY,197,58.358108,3.448964
218,2022-04-04T00:00:00,TSLA,BUY,32,363.123035,3.485981
221,2022-04-07T00:00:00,NVDA,SELL,820,24.396582,6.001559
234,2022-04-27T00:00:00,AVGO,SELL,602,51.723629,9.341287
234,2022-04-27T00:00:00,TSLA,SELL,106,299.523671,9.524853
257,2022-05-31T00:00:00,NVDA,BUY,1104,18.945507,6.274752
267,2022-06-14T00:00:00,NVDA,SELL,1104,15.705731,5.201738
290,2022-07-19T00:00:00,NVDA,BUY,1245,16.459518,6.14763
300,2022-08-02T00:00:00,NVDA,SELL,1245,18.09289,6.757694
329,2022-09-13T00:00:00,TSLA,BUY,67,292.9,5.88729
330,2022-09-14T00:00:00,TSLA,SELL,67,292.24,5.874024
381,2022-11-25T00:00:00,AVGO,BUY,404,50.21474,6.086026
383,2022-11-29T00:00:00,AVGO,SELL,404,49.4871,5.997837
394,2022-12-14T00:00:00,NVDA,BUY,1127,17.968039,6.074994
396,2022-12-16T00:00:00,NVDA,SELL,1127,16.846422,5.695775
410,2023-01-09T00:00:00,AVGO,BUY,371,56.511998,6.289785
414,2023-01-13T00:00:00,TSM,BUY,241,81.319575,5.879405
416,2023-01-18T00:00:00,NVDA,BUY,1140,17.648376,6.035745
424,2023-01-30T00:00:00,TSM,BUY,118,88.403262,3.129475
426,2023-02-01T00:00:00,NVDA,BUY,532,19.670242,3.139371
428,2023-02-03T00:00:00,MSFT,BUY,73,252.357703,5.526634
428,2023-02-03T00:00:00,AVGO,BUY,26,57.055841,0.445036
441,2023-02-23T00:00:00,MSFT,SELL,73,249.108309,5.455472
442,2023-02-24T00:00:00,NVDA,BUY,463,23.200517,3.222552
448,2023-03-06T00:00:00,AVGO,BUY,104,60.586052,1.890285
484,2023-04-26T00:00:00,TSM,SELL,359,78.710897,8.477164
485,2023-04-27T00:00:00,MSFT,BUY,92,288.498146,7.962549
495,2023-05-11T00:00:00,MSFT,BUY,5,302.27143,0.453407
587,2023-09-22T00:00:00,MSFT,SELL,97,314.557446,9.153622
600,2023-10-11T00:00:00,TSLA,BUY,114,266.2,9.10404
607,2023-10-20T00:00:00,TSLA,SELL,114,217.01,7.421742
611,2023-10-26T00:00:00,MSFT,BUY,73,333.372938,7.300867
798,2024-07-26T00:00:00,MSFT,SELL,73,411.729352,9.016873
807,2024-08-08T00:00:00,AVGO,SELL,501,138.812839,20.86357
811,2024-08-14T00:00:00,TSM,BUY,410,168.006761,20.664832
815,2024-08-20T00:00:00,TSLA,BUY,129,224.88,8.702856
924,2025-01-28T00:00:00,NVDA,SELL,2135,121.770099,77.993749
925,2025-01-29T00:00:00,AMZN,BUY,392,239.015,28.108164
925,2025-01-29T00:00:00,TSM,BUY,197,201.247161,11.893707
925,2025-01-29T00:00:00,TSLA,BUY,98,395.21,11.619174
935,2025-02-12T00:00:00,TSLA,SELL,227,329.94,22.468914
946,2025-02-28T00:00:00,TSM,SELL,607,176.46647,32.134544
946,2025-02-28T00:00:00,AMZN,SELL,392,208.65,24.53724
964,2025-03-26T00:00:00,TSLA,BUY,243,282.66,20.605914
965,2025-03-27T00:00:00,TSLA,SELL,243,272.48,19.863792
985,2025-04-25T00:00:00,AVGO,BUY,373,185.417639,20.748234
990,2025-05-02T00:00:00,MSFT,BUY,167,427.533878,21.419447
995,2025-05-09T00:00:00,AVGO,BUY,173,207.64752,10.776906
996,2025-05-12T00:00:00,TSLA,BUY,239,321.99,23.086683
997,2025-05-13T00:00:00,TSM,BUY,395,185.456232,21.976563
998,2025-05-14T00:00:00,NVDA,BUY,168,133.163614,6.711446
1014,2025-06-06T00:00:00,TSLA,SELL,239,298.83,21.426111
1015,2025-06-09T00:00:00,NVDA,BUY,272,143.156258,11.681551
1015,2025-06-09T00:00:00,MSFT,BUY,76,466.987212,10.647308
1015,2025-06-09T00:00:00,AVGO,BUY,1,243.075462,0.072923
1130,2025-11-20T00:00:00,MSFT,SELL,243,491.587962,35.836762
1131,2025-11-21T00:00:00,NVDA,BUY,272,181.2151,14.787152
1131,2025-11-21T00:00:00,TSM,BUY,178,271.359348,14.490589
1149,2025-12-18T00:00:00,NVDA,SELL,712,174.520554,37.27759
1161,2026-01-07T00:00:00,AMZN,BUY,514,239.61,36.947862
1172,2026-01-23T00:00:00,AVGO,SELL,547,318.631599,52.287445
1176,2026-01-29T00:00:00,NVDA,BUY,543,191.329644,31.167599
1182,2026-02-06T00:00:00,AMZN,SELL,514,202.7,31.25634
1197,2026-03-02T00:00:00,NVDA,SELL,543,175.000528,28.507586
1203,2026-03-10T00:00:00,AVGO,BUY,282,347.999993,29.440799
1207,2026-03-16T00:00:00,AVGO,SELL,282,325.337532,27.523555
1224,2026-04-09T00:00:00,NVDA,BUY,538,181.84,29.348976
1225,2026-04-10T00:00:00,AMZN,BUY,432,235.295,30.494232
1227,2026-04-14T00:00:00,AVGO,BUY,214,377.9,24.26118
