datetime,open,high,low,close,volume,turnover
2020-01-01,4025.57,4044.88,4025.2,4043.74,2490687,10071683506.69
2020-01-02,4039.09,4067.74,3957.11,4036.6,4874910,19678055756.65
2020-01-03,4088.46,4193.81,4076.19,4092.92,1693045,6929505450.9
2020-01-06,4210.79,4261.03,4177.13,4221.69,3984852,16822811450.1
2020-01-07,4213.53,4215.92,4183.86,4206.14,1007967,4239651963.78
2020-01-08,4195.72,4236.4,4160.24,4190.65,2428127,10175434081.37
2020-01-09,4317.27,4350.57,4261.9,4327.2,4380283,18954363987.54
2020-01-10,4369.09,4466.67,4310.93,4397.94,4512664,19846447433.6
2020-01-13,4367.12,4373.61,4346.35,4361.05,2204680,9614716083.75
2020-01-14,4385.58,4424.22,4351.82,4412.73,1909711,8427042866.11
2020-01-15,4363.98,4376.93,4332.18,4376.25,3590310,15712079717.65
2020-01-16,4323.95,4372.12,4298.32,4339.86,2933731,12731979677.18
2020-01-17,4354.13,4476.68,4313.45,4365.2,4554366,19880721987.4
2020-01-20,4193.44,4258.3,4140.07,4202.53,1489626,6260196354.65
2020-01-21,4089.07,4138.46,4048.89,4061.75,1927460,7828862801.57
2020-01-22,4028.54,4032.64,3997.33,4020.14,3627988,14585003079.66
2020-01-23,3935.04,3964.26,3919.63,3942.72,1660902,6548473518.1
2020-01-24,3941.01,4012.47,3924.6,3971.44,3637492,14446094718.11
2020-01-27,3924.3,3963.31,3902.08,3903.29,1463547,5712651036.46
2020-01-28,3796.75,3881.17,3770.67,3796.94,2059325,7819138498.97
2020-01-29,3903.08,3929.38,3868.54,3912.04,1225019,4792322185.89
2020-01-30,3919.56,3940.45,3858.84,3898.29,4402281,17161351235.47
2020-01-31,3913.72,3924.87,3899.36,3907.45,2101928,8213177225.76
2020-02-03,3805.55,3833.36,3792.5,3800.01,3711793,14104866051.84
2020-02-04,3755.3,3843.61,3732.55,3762.44,1748321,6577954537.6
2020-02-05,3756.65,3856.15,3742.88,3774.55,2822550,10653856645.97
2020-02-06,3686.69,3735.41,3684.38,3691.44,1554399,5737963000.26
2020-02-07,3722.3,3732.51,3692.78,3722.86,2600946,9682967745.93
2020-02-10,3704.47,3754.37,3646.09,3681.86,1403082,5165958167.08
2020-02-11,3652.88,3707.84,3607.43,3664.07,2959925,10845363760.9
2020-02-12,3583.72,3651.96,3552.2,3623.64,2877541,10427164849.05
2020-02-13,3762.06,3793.96,3754.95,3761.5,2302887,8662310844.55
2020-02-14,3768.87,3822.46,3707.73,3764.25,3616241,13612423285.28
2020-02-17,3684.48,3692.71,3683.48,3688.38,2317630,8548303056.38
2020-02-18,3763.52,3818.31,3685.22,3752.75,1112990,4176769688.34
