fast,slow,rsi_w,rsi_os,rsi_ob,vol_th,sl,tp,pos,trades,sharpe,total_return,annual_return,max_dd_pct,win_rate,bars
3,13,9,25.0,65.0,1.0,0.02,0.05,0.3,537,1.2385,555.2404,284.1315,-50.4519,0.0000,18219
3,13,9,25.0,65.0,1.0,0.02,0.1,0.3,629,1.4325,288.7829,147.7780,-33.9811,0.0000,18219
3,13,9,25.0,65.0,1.0,0.02,0.15,0.3,502,1.1637,124.7897,63.8583,-23.4007,0.0000,18219
3,13,9,25.0,65.0,1.0,0.03,0.05,0.3,866,1.1792,129.2527,66.1421,-38.1957,0.0000,18219
3,13,9,25.0,65.0,1.0,0.03,0.1,0.3,562,0.9879,108.1689,55.3530,-29.8461,0.0000,18219
3,13,9,25.0,65.0,1.0,0.03,0.15,0.3,320,2.2017,231.3145,118.3699,-19.4104,0.0000,18219
3,13,9,25.0,65.0,1.0,0.05,0.05,0.3,640,1.8121,223.4284,114.3344,-20.2038,0.0000,18219
3,13,9,25.0,65.0,1.0,0.05,0.1,0.3,373,0.7558,83.2915,42.6225,-39.3267,0.0000,18219
3,13,9,25.0,65.0,1.0,0.05,0.15,0.3,271,1.1070,124.1418,63.5267,-34.6584,0.0000,18219
3,13,9,25.0,65.0,1.2,0.02,0.05,0.3,717,1.7550,368.3450,188.4921,-27.9614,0.0000,18219
3,13,9,25.0,65.0,1.2,0.02,0.1,0.3,522,1.8117,274.6274,140.5343,-24.9630,0.0000,18219
3,13,9,25.0,65.0,1.2,0.02,0.15,0.3,465,1.2485,118.0256,60.3969,-20.8519,0.0000,18219
3,13,9,25.0,65.0,1.2,0.03,0.05,0.3,801,1.1722,113.2407,57.9483,-38.3700,0.0000,18219
3,13,9,25.0,65.0,1.2,0.03,0.1,0.3,513,1.4030,164.1581,84.0041,-23.2693,0.0000,18219
3,13,9,25.0,65.0,1.2,0.03,0.15,0.3,311,2.0693,207.7045,106.2880,-18.4440,0.0000,18219
3,13,9,25.0,65.0,1.2,0.05,0.05,0.3,574,1.2236,134.9768,69.0713,-28.6582,0.0000,18219
3,13,9,25.0,65.0,1.2,0.05,0.1,0.3,343,0.8177,85.6563,43.8327,-36.4447,0.0000,18219
