fast,slow,rsi_w,rsi_os,rsi_ob,vol_th,sl,tp,pos,trades,sharpe,total_return,annual_return,max_dd_pct,win_rate,bars
5,20,14,25.0,65.0,1.0,0.05,0.15,0.3,32,1.0404,147.1095,75.2799,-27.7971,0.0000,469
5,20,14,25.0,65.0,1.0,0.05,0.25,0.3,32,1.0404,147.1095,75.2799,-27.7971,0.0000,469
5,20,14,25.0,65.0,1.0,0.08,0.15,0.3,28,1.1060,162.2533,83.0294,-28.6466,0.0000,469
5,20,14,25.0,65.0,1.0,0.08,0.25,0.3,28,1.1060,162.2533,83.0294,-28.6466,0.0000,469
5,20,14,25.0,65.0,1.2,0.05,0.15,0.3,26,1.1853,139.2337,71.2497,-26.7033,0.0000,469
5,20,14,25.0,65.0,1.2,0.05,0.25,0.3,26,1.1853,139.2337,71.2497,-26.7033,0.0000,469
5,20,14,25.0,65.0,1.2,0.08,0.15,0.3,24,1.2917,151.3185,77.4338,-24.9025,0.0000,469
5,20,14,25.0,65.0,1.2,0.08,0.25,0.3,24,1.2917,151.3185,77.4338,-24.9025,0.0000,469
5,20,14,25.0,65.0,1.5,0.05,0.15,0.3,29,0.8376,39.9811,20.4594,-13.2212,0.0000,469
5,20,14,25.0,65.0,1.5,0.05,0.25,0.3,29,0.8376,39.9811,20.4594,-13.2212,0.0000,469
5,20,14,25.0,65.0,1.5,0.08,0.15,0.3,20,1.1416,64.1415,32.8230,-13.2212,0.0000,469
5,20,14,25.0,65.0,1.5,0.08,0.25,0.3,20,1.1416,64.1415,32.8230,-13.2212,0.0000,469
5,20,14,25.0,70.0,1.0,0.05,0.15,0.3,32,1.0404,147.1095,75.2799,-27.7971,0.0000,469
5,20,14,25.0,70.0,1.0,0.05,0.25,0.3,32,1.0404,147.1095,75.2799,-27.7971,0.0000,469
5,20,14,25.0,70.0,1.0,0.08,0.15,0.3,28,1.1060,162.2533,83.0294,-28.6466,0.0000,469
5,20,14,25.0,70.0,1.0,0.08,0.25,0.3,28,1.1060,162.2533,83.0294,-28.6466,0.0000,469
