fast,slow,rsi_w,rsi_os,rsi_ob,vol_th,sl,tp,pos,trades,sharpe,total_return,annual_return,max_dd_pct,win_rate,bars
5,20,14,25.0,65.0,1.0,0.03,0.1,0.3,108,1.4252,219.4469,112.2969,-19.8817,0.0000,3271
5,20,14,25.0,65.0,1.0,0.03,0.15,0.3,97,1.3973,139.1677,71.2159,-25.2155,0.0000,3271
5,20,14,25.0,65.0,1.0,0.03,0.2,0.3,173,0.7088,77.7533,39.7885,-37.7358,0.0000,3271
5,20,14,25.0,65.0,1.0,0.05,0.1,0.3,223,1.2084,190.6684,97.5702,-28.3573,0.0000,3271
5,20,14,25.0,65.0,1.0,0.05,0.15,0.3,164,0.8700,103.4173,52.9214,-41.5383,0.0000,3271
5,20,14,25.0,65.0,1.0,0.05,0.2,0.3,165,0.7356,75.0717,38.4162,-32.9160,0.0000,3271
5,20,14,25.0,65.0,1.3,0.03,0.1,0.3,88,1.4179,123.0200,62.9526,-18.8448,0.0000,3271
5,20,14,25.0,65.0,1.3,0.03,0.15,0.3,79,0.8093,51.1986,26.1997,-23.2279,0.0000,3271
5,20,14,25.0,65.0,1.3,0.03,0.2,0.3,140,0.7479,65.1360,33.3319,-24.4211,0.0000,3271
5,20,14,25.0,65.0,1.3,0.05,0.1,0.3,177,1.3347,129.8825,66.4644,-21.6809,0.0000,3271
5,20,14,25.0,65.0,1.3,0.05,0.15,0.3,141,0.8466,71.2873,36.4796,-29.9931,0.0000,3271
5,20,14,25.0,65.0,1.3,0.05,0.2,0.3,120,0.7307,49.4875,25.3241,-32.2202,0.0000,3271
5,20,14,25.0,65.0,1.6,0.03,0.1,0.3,83,1.4599,305.5884,156.3779,-35.7469,0.0000,3271
5,20,14,25.0,65.0,1.6,0.03,0.15,0.3,84,1.2456,280.6787,143.6309,-40.5116,0.0000,3271
5,20,14,25.0,65.0,1.6,0.03,0.2,0.3,61,1.3281,286.4561,146.5873,-39.2968,0.0000,3271
